"","Gene","Description","correct_name"
"1","43715","septin 7","SEPTIN7"
"2","43709","septin 1","SEPTIN1"
"3","43710","septin 2","SEPTIN2"
"4","43713","septin 5","SEPTIN5"
"5","43712","septin 4","SEPTIN4"
"6","43530","membrane associated ring-CH-type finger 6","MARCHF6"
"7","43717","septin 9","SEPTIN9"
"8","43714","septin 6","SEPTIN6"
"9","43716","septin 8","SEPTIN8"
"10","43529","membrane associated ring-CH-type finger 5","MARCHF5"
"11","43526","mitochondrial amidoxime reducing component 2","MTARC2"
"12","43719","septin 11","SEPTIN11"
"13","43711","septin 3","SEPTIN3"
"14","43525","mitochondrial amidoxime reducing component 1","MTARC1"
"15","43531","membrane associated ring-CH-type finger 7","MARCHF7"
"16","43718","septin 10","SEPTIN10"
"17","43722","septin 14","SEPTIN14"
"18","43891","membrane associated ring-CH-type finger 1","MARCHF1"
"19","42073","membrane associated ring-CH-type finger 10","MARCHF10"
"20","42072","membrane associated ring-CH-type finger 9","MARCHF9"
"21","42074","membrane associated ring-CH-type finger 11","MARCHF11"
