Brown	DPM
TSPAN6	0.387047101792953	0.902333714237079
DPM1	0.814569812273779	0.872004411749431
SCYL3	0.300423025693307	0.973878589172734
FGR	0.000377972226415266	0.00124333716708424
FUCA2	4.28989543133044e-09	4.28989543133044e-09
GCLC	0.00342581938908696	0.00342581938908696
NIPAL3	0.0788979869395637	0.0788979869395637
LAS1L	0.16775473684596	0.16775473684596
ENPP4	0.759430099635212	0.759430099635212
ANKIB1	0.830873303723784	0.978537840895679
LAP3	0.00651815584067021	0.00651815584067021
HECW1	0.527568445736186	0.861287898415373
LASP1	0.95555027986322	0.960061271415429
SNX11	0.904561491069583	0.904561491069583
KLHL13	0.00913132168858456	0.00913132168858456
ICA1	0.048379412286161	0.294362568153224
DBNDD1	0.0525323832893585	0.110267071098328
ALS2	0.874143353547708	0.985602465538479
CASP10	0.527054351013238	0.953269740783202
CFLAR	2.04712609508611e-07	2.29421771094452e-07
NDUFAF7	0.73309718405008	0.73309718405008
RBM5	0.711915043196476	0.784108138641134
MTMR7	0.00831108619018675	0.00831108619018675
SLC7A2	0.709032782382753	0.767548991900527
SARM1	0.236266476419499	0.236266476419499
POLDIP2	0.646998079417069	0.646998079417069
PLXND1	0.286600375831893	0.286600375831893
AK2	0.956308264865123	0.987870868075113
CD38	0.00105165617731171	0.0736676398528937
RBM6	0.392822082845588	0.392822082845588
CAMKK1	0.795965833560362	0.99121500850842
RECQL	0.76446433346515	0.76446433346515
VPS50	0.794292672807534	0.794292672807534
HSPB6	6.89088682412455e-10	6.89088682412455e-10
ARHGAP33	0.0864107565986467	0.0864107565986467
NDUFAB1	0.983145447796767	0.983145447796767
ZMYND10	1.05588226459135e-05	1.05588226459135e-05
SLC25A13	0.729166348397319	0.729166348397319
ST7	0.848676014819112	0.999239408522399
CDC27	0.0617892403850791	0.577953522142084
SLC4A1	0.781699287162	0.929362191229303
HCCS	0.0316823275183707	0.0316823275183707
DVL2	0.16391910126265	0.16391910126265
UPF1	0.227072052217522	0.334547213710298
SKAP2	0.127790038385344	0.306263438041169
MCUB	9.48709951631685e-09	9.48709951631685e-09
POLR2J	0.280536999893269	0.637921035419493
DHX33	0.31582231845628	0.31582231845628
THSD7A	0.429996673245452	0.429996673245452
LIG3	0.0619489311082925	0.0619489311082925
RPAP3	0.433269013211222	0.433269013211222
CIAPIN1	0.209894137679634	0.595191465276256
SPPL2B	0.101406932785387	0.125938117385794
COPZ2	0.00201537114311512	0.00201537114311512
PRKAR2B	0.270173534592994	0.270173534592994
MSL3	0.555212294371009	0.999746027928705
CREBBP	0.161673448032228	0.161673448032228
MPO	0.0374027097777345	0.0374027097777345
PON1	0.922713832296058	0.958428640573509
GCFC2	0.223330199524063	0.714360814307874
CROT	0.834291308613753	0.904287360815821
KMT2E	0.53643848513854	0.53643848513854
RHBDD2	3.86501238879121e-07	3.86501238879121e-07
SOX8	2.0108986054397e-05	2.0108986054397e-05
IBTK	0.0836312724946499	0.380360005641624
ZNF195	0.371425615736302	0.991846637362681
MYCBP2	0.809650948898577	0.911550740734371
ITGAL	0.58162289920106	0.58162289920106
PDK2	0.60022961984026	0.60022961984026
ITGA3	0.253188070353582	0.253188070353582
ZFX	0.867854874144947	0.867854874144947
LAMP2	0.415024477564341	0.415024477564341
ITGA2B	1.1590581829751e-06	5.03301744295278e-06
GDE1	0.694568764761179	0.694568764761179
OSBPL7	0.290128305459097	0.298943963295232
