gene	protein_pval	protein_fdr	protein_log2fc
AGO3	4.45558011505929e-05	0.0725963575794027	0.0363914410330374
C9orf64	4.45558011505929e-05	0.0725963575794027	-0.0357884507224537
TRIP4	4.74853290068024e-05	0.0725963575794027	-0.0438807481865444
SWAP70	6.1132224203314e-05	0.0725963575794027	-0.0360814518576977
AGO4	6.927553654259e-05	0.0725963575794027	0.0292081671621307
CUL7	6.927553654259e-05	0.0725963575794027	-0.0303832471627935
ADK	7.37222223704002e-05	0.0725963575794027	0.0357152737584334
NPEPL1	7.84379232583672e-05	0.0725963575794027	-0.033648784167218
ATRX	8.3437816034192e-05	0.0725963575794027	-0.0334995309628755
RAB34	8.3437816034192e-05	0.0725963575794027	-0.029470630080017
EDNRA	9.43548514013731e-05	0.0725963575794027	0.0320428156615118
MSN	0.0001003064252881	0.0725963575794027	-0.033730325208808
ARSD	0.0001066111309332	0.0725963575794027	-0.0270507373780259
CCDC61	0.0001132884547312	0.0725963575794027	-0.0259292115010489
OPHN1	0.0001203588662951	0.0725963575794027	0.0331498583157201
DRG2	0.0001278438625721	0.0725963575794027	-0.0356496304167059
LGALS3	0.0001278438625721	0.0725963575794027	-0.0296836029842297
POLR1D	0.0001278438625721	0.0725963575794027	-0.0302369206437229
TAGLN2	0.0001278438625721	0.0725963575794027	-0.0376475332541836
RBP1	0.0001357660136274	0.0725963575794027	-0.0277126426746218
FBXO17	0.00015301771268	0.0725963575794027	-0.0265657146174575
MTARC2	0.0001623982027417	0.0725963575794027	-0.0260918351066696
CPQ	0.0001723178357034	0.0725963575794027	-0.0285559840087166
RRBP1	0.0001828052956368	0.0725963575794027	-0.0265551758627816
SH2D4A	0.0001828052956368	0.0725963575794027	-0.0267759316955521
CALCRL	0.0002056054188586	0.0725963575794027	0.0234849077478593
SSH3	0.0002056054188586	0.0725963575794027	-0.0273965225054032
TFAM	0.0002056054188586	0.0725963575794027	0.0283377690401671
PRXL2A	0.0002179826148205	0.0725963575794027	0.0290057382088368
NUDT4	0.0002310568268426	0.0725963575794027	0.0286356241416634
CYP27A1	0.0002448642748455	0.0725963575794027	-0.0271445688232186
MASP1	0.0002448642748455	0.0725963575794027	0.0307856647773027
SLC43A3	0.0002448642748455	0.0725963575794027	-0.0286255972805779
AIFM2	0.0002594428790521	0.0725963575794027	-0.0257663771196323
CCDC8	0.0002748323294726	0.0725963575794027	-0.0241215324518022
FKBP9	0.0002748323294726	0.0725963575794027	-0.0266541260578327
RGN	0.0002748323294726	0.0725963575794027	-0.0235744422170985
ANKRD35	0.0002910741576738	0.0725963575794027	-0.023942512859776
BORCS5	0.0002910741576738	0.0725963575794027	0.0290966308891418
LRPAP1	0.0002910741576738	0.0725963575794027	-0.0246012930277554
KCNIP3	0.0003082118108775	0.0725963575794027	0.026734975728397
RAB3GAP1	0.0003082118108775	0.0725963575794027	-0.0297695273670576
WWTR1	0.0003082118108775	0.0725963575794027	-0.0257475425079795
GID8	0.0003262907284342	0.0725963575794027	-0.0233829060908281
PLEKHF1	0.0003262907284342	0.0725963575794027	-0.0269291795396552
SLC12A7	0.0003262907284342	0.0725963575794027	-0.0244013761156548
SLC27A3	0.0003262907284342	0.0725963575794027	-0.0237437408348955
SMOC1	0.0003262907284342	0.0725963575794027	0.0275229394902505
TFRC	0.0003262907284342	0.0725963575794027	-0.0218646587355856
CDC123	0.0003453584207179	0.0751753684787753	0.0241107598772102
CRYAB	0.0003654645504838	0.0751753684787753	0.0291957672196388
EFEMP2	0.0003654645504838	0.0751753684787753	-0.02407175972086
JAK1	0.0003654645504838	0.0751753684787753	0.0275396084592302
TPPP3	0.0003866610167363	0.0780625630455484	-0.0243565162729601
LARP1B	0.000409002041145	0.0796239330814896	-0.0271716304589907
RICTOR	0.000409002041145	0.0796239330814896	0.0257572377524038
HDAC5	0.0004573468011195	0.0857035580735789	0.0212963426504586
PDLIM4	0.0004573468011195	0.0857035580735789	-0.0218327860871408
USP4	0.0004834714076229	0.0857035580735789	-0.0226189652963907
ABI1	0.0005109825054836	0.0857035580735789	0.0251165751136068
ANXA2	0.0005109825054836	0.0857035580735789	-0.0266824485565629
EFNA1	0.0005109825054836	0.0857035580735789	0.0267025559160239
PDE8B	0.0005109825054836	0.0857035580735789	0.0254714645989027
PTBP2	0.0005109825054836	0.0857035580735789	0.0215402536823066
SGCD	0.0005109825054836	0.0857035580735789	0.0241649438489549
FCHSD1	0.0005399473180187	0.0861632266772761	-0.0257725145552009
SGCE	0.0005399473180187	0.0861632266772761	0.0215721421338355
WAC	0.0005399473180187	0.0861632266772761	0.0224180631158186
GSTA4	0.0005704359654766	0.0861632266772761	0.0211120587720474
TOM1L1	0.0005704359654766	0.0861632266772761	-0.0244873522500659
C1QL1	0.0006025215703771	0.0861632266772761	0.0272927071776481
FABP5	0.0006025215703771	0.0861632266772761	-0.0207578969036702
RAB3GAP2	0.0006025215703771	0.0861632266772761	-0.0306919003611813
TATDN1	0.0006025215703771	0.0861632266772761	0.0270071709912783
AGO1	0.0006362803656886	0.0861632266772761	0.0233155536173018
ARHGEF10L	0.0006362803656886	0.0861632266772761	0.011932579052609
DCTD	0.0006362803656886	0.0861632266772761	-0.0294306319543836
MACROH2A2	0.0006362803656886	0.0861632266772761	0.026465092630781
UBTD1	0.0006362803656886	0.0861632266772761	0.0254965096691597
ALG1	0.0006717918058675	0.0861632266772761	-0.0237999082600279
C19orf66	0.0006717918058675	0.0861632266772761	-0.021042785806711
CARS1	0.0006717918058675	0.0861632266772761	-0.0190106479803658
LGALS8	0.0006717918058675	0.0861632266772761	-0.0273685331340006
POGLUT3	0.0006717918058675	0.0861632266772761	-0.0256399624730165
ZBED3	0.0006717918058675	0.0861632266772761	0.0273560584849315
KLHL26	0.0007091386807869	0.089895696487663	-0.0239830157603413
CUL2	0.0007484072325732	0.0915869220864245	0.0227128833636923
PDCD4	0.0007484072325732	0.0915869220864245	0.0232498770972599
ERICH3	0.0007723096401445	0.0915869220864245	-0.0241478053535309
APOBEC3F	0.0007896872753736	0.0915869220864245	-0.0202049464657273
CD63	0.0007896872753736	0.0915869220864245	-0.0248067465657576
CHST9	0.0007896872753736	0.0915869220864245	0.02068487970236
MARVELD1	0.0007896872753736	0.0915869220864245	-0.0253057905873421
VAV3	0.0007896872753736	0.0915869220864245	-0.0208963340561377
CUTC	0.0008330723180674	0.092675045016036	0.0239010238161542
FRMD5	0.0008330723180674	0.092675045016036	0.0195324237081501
POLR1A	0.0008330723180674	0.092675045016036	-0.0180912817551567
RAMP1	0.0008330723180674	0.092675045016036	0.0219933941851652
ACSS3	0.0008786596899361	0.0935301425622576	-0.0212362700355088
ERBB2	0.0008786596899361	0.0935301425622576	-0.0214678007977912
OPLAH	0.0008786596899361	0.0935301425622576	-0.0199620433951275
ABHD6	0.0009265506693013	0.0935301425622576	0.0214620914270498
ACADS	0.0009265506693013	0.0935301425622576	-0.0219307964927846
ALCAM	0.0009265506693013	0.0935301425622576	0.0270920447447912
HMGN3	0.0009265506693013	0.0935301425622576	0.0238917539722584
SEC24D	0.0009265506693013	0.0935301425622576	-0.020417281719411
SHROOM3	0.0009265506693013	0.0935301425622576	-0.0251773368296141
SUPV3L1	0.0009265506693013	0.0935301425622576	0.0242389213744418
ARAP1	0.0009768506151374	0.0977029853782409	-0.0213719570542345
CDH11	0.0010296691016597	0.098468881985036	0.0218088638642917
CLIC1	0.0010296691016597	0.098468881985036	-0.0287488797320457
FRA10AC1	0.0010296691016597	0.098468881985036	0.0229153223833763
IFIT5	0.0010296691016597	0.098468881985036	0.020895663719512
TTC12	0.0010296691016597	0.098468881985036	-0.0254967457211583
BCAT1	0.0010851200558892	0.0994115869689481	-0.0222082642830382
CACNA2D1	0.0010851200558892	0.0994115869689481	0.0216303044609514
FKBP10	0.0010851200558892	0.0994115869689481	-0.023737578024394
KIF1BP	0.0010851200558892	0.0994115869689481	0.0271506731748176
PHYHIPL	0.0010851200558892	0.0994115869689481	0.0234416687032074
CCDC120	0.0012043976857474	0.105042748560146	0.0193215028754562
CRIP1	0.0012043976857474	0.105042748560146	-0.0195538999438947
MDGA2	0.0012043976857474	0.105042748560146	0.0179995187973155
MYO9B	0.0012043976857474	0.105042748560146	-0.0208896644430699
SOX13	0.0012043976857474	0.105042748560146	0.0213987499284216
TLE3	0.0012043976857474	0.105042748560146	0.0168994751234255
IGFBP2	0.0012684752590398	0.108889112394115	-0.019798646045237
MCC	0.0012684752590398	0.108889112394115	-0.0227442191421643
CSDC2	0.0013356873911748	0.111157739989226	0.0241101144632916
FLNC	0.0013356873911748	0.111157739989226	-0.020035251985281
SYT6	0.0013356873911748	0.111157739989226	0.0244266917426843
TRAF3IP1	0.0013356873911748	0.111157739989226	-0.0179990488744742
ADGRE5	0.0014061719401751	0.111898441545908	-0.0209616275902206
RAI14	0.0014061719401751	0.111898441545908	-0.0195773349608992
