gene	p_value	fold_change	fdr
TSPAN6	0.32194412623143653	0.7716200124945912	0.5955288195807306
TNMD	0.053626185837860746	0.08137580193929561	0.2192679141784908
DPM1	0.8831399713746723	1.0221621857032	0.9545919149305654
SCYL3	0.13018729390881775	1.3375856981342704	0.3645821983709806
FGR	0.40691028300231896	0.7883080240019913	0.6693212761766357
CFH	0.005318593001853324	0.33845005995891514	0.05451341858044682
FUCA2	7.895064394000608e-06	0.4576759255438547	0.0008035562582947608
GCLC	0.0018214201073202241	1.6489874228565713	0.02801080751558015
NFYA	0.4469048119273858	1.0474628672001123	0.7011150239991166
STPG1	0.00018954242611610343	0.20559716224015193	0.006770240884535763
NIPAL3	0.0024390807235203853	0.42142246748223305	0.03309981159639026
LAS1L	0.02446309577541261	1.3369554774639543	0.1373389509588997
ENPP4	0.36904074503398016	1.0968883269579877	0.6377280095151326
SEMA3F	0.16305156412356192	0.5362556182120877	0.41521780473811554
CFTR	0.022815076279385536	1.9765998344154208	0.131576745400153
ANKIB1	0.4560738613070551	0.8337559701699505	0.707409608226453
CYP51A1	0.19959478842755185	0.6554592830761021	0.4640787201820172
KRIT1	0.36904074503398016	0.7268678529054298	0.6377280095151326
RAD52	0.8181233791346252	1.1246065709038766	0.9263331858899305
BAD	0.800578725811299	0.9870902412548752	0.9164201147861712
LAP3	0.058542959249817055	0.7281932806530836	0.23027672113412287
CD99	0.007406885301882256	0.5419753401185703	0.06734858100381028
HS3ST1	0.06779389359264243	1.4668920870179203	0.25159894130607996
AOC1	0.1597042428107348	0.48821570642496287	0.4104664082720813
WNT16	1.558684276651144e-06	0.036955141699727724	0.00028102335277412196
HECW1	0.5002507862136193	0.9471540975412776	0.7388241249656754
MAD1L1	0.038955435465973944	0.5323194442474581	0.18159698320767118
LASP1	0.9849671803936887	0.9824346634735572	1.0
SNX11	0.4469048119273858	1.0326868472952815	0.7011150239991166
TMEM176A	0.0004728347184504472	0.23983114133855615	0.011809015903674691
M6PR	0.7144498574562824	1.0319943772725881	0.8715846276262974
KLHL13	0.0002994153566479803	1.996327168253955	0.008760791525043145
CYP26B1	0.4560738613070551	0.8241639994450433	0.707409608226453
ICA1	0.004865716039015005	1.6889703125284323	0.05187286209252378
DBNDD1	0.0020769932995101693	0.42480314649307843	0.030480279188393033
ALS2	0.7144498574562824	1.0655707223867095	0.8715846276262974
CASP10	0.39461025502207214	0.8322799905139764	0.6594455627643095
CFLAR	0.029731790619151866	0.7434367585028288	0.15446007909197693
TFPI	0.0754537658266707	1.4616024339718492	0.2687516916020137
NDUFAF7	0.41125038121537827	1.1870471083612695	0.6728723072122063
RBM5	0.21851477160142624	1.2808152874750187	0.48609907652016454
MTMR7	0.0008125045831429416	1.7865629592904675	0.016884219828187736
SLC7A2	0.8890947219291804	1.0631191594037248	0.9575294220526405
ARF5	0.08233665258674014	0.7921774480369504	0.28184250714641873
SARM1	0.019533264548580107	1.5062864071716964	0.11963255618543191
POLDIP2	0.17522932953663287	1.1696926460396024	0.430534255348215
PLXND1	0.1281853734680584	0.7172157746524718	0.3611664392206896
AK2	0.6533672982152271	0.9230644795510677	0.8351719326477018
CD38	0.30348208784288966	1.281838695125415	0.5767713487555209
FKBP4	0.7088169584003935	1.0216346349700638	0.8682938941036528
KDM1A	0.0012970111619134694	1.7399789314026677	0.022340483635391043
RBM6	0.20988756057059912	1.2417093755560376	0.47602508795519494
CAMKK1	0.5839710510411974	0.5130177799045975	0.794648933816914
RECQL	0.5453386740358208	0.8838902185052807	0.7714601969207665
VPS50	0.32194412623143653	0.8881603095042635	0.5955288195807306
HSPB6	3.508863602938133e-05	0.27096101422379243	0.002199546253881516
ARHGAP33	0.04841350704081135	1.5605267477425333	0.2058199195575117
NDUFAB1	0.8534671966360218	0.9795058782264982	0.9441165529627872
PDK4	0.027286274209774062	1.8502987147408365	0.14624901895575818
SLC22A16	0.12899420031171704	0.6581511760924371	0.3629591566737686
ZMYND10	0.017806407989394597	0.21542651132755258	0.11365243076440631
ABCB5	0.379434583114452	1.4518164524660142	0.6481750670402175
ARX	0.0001453023028199279	0.1327567885703827	0.0055795494821177585
SLC25A13	0.5839710510411974	0.8921144773852663	0.794648933816914
ST7	0.5530933713202311	1.1285277659107573	0.7757157069538668
