gene	pvalue	FC	fdr
A1BG	1	1.0636489762353232	1.0
A1CF	1	0.9767939630584654	1.0
A2M	1	1.178644511281196	1.0
A2ML1	1	1.1335019054385196	1.0
A4GNT	1	1.078311348503507	1.0
AAAS	0.00027145001761692665	1.2435177531074502	0.002784545924683018
AACS	1	1.027840419438217	1.0
AADACL2	1	1.0415482024288865	1.0
AADACL3	1	1.0323636347347864	1.0
AADACL4	1	1.0161621000666652	1.0
AADAT	1	0.8638570959445955	1.0
AAGAB	1	1.0270507474788175	1.0
AAK1	1	1.052626071988301	1.0
AAMDC	1	0.9983601939213115	1.0
AAMP	1	1.060157438580112	1.0
AANAT	1	1.0375924175954825	1.0
AAR2	1	1.033467843886829	1.0
AARD	1.5352073269473657e-05	1.2497644434175694	0.00020811645827218273
AARS1	1	1.0140824963219606	1.0
AASDH	1	0.9809988790398242	1.0
AASDHPPT	1	0.8411548053407323	1.0
AASS	1	0.9794670503444779	1.0
AATF	1	0.9236137763284382	1.0
AATK	1	1.085061043178399	1.0
ABAT	1	0.9181852653508156	1.0
ABCA1	1	1.0389249949628618	1.0
ABCA12	1	1.0018766767372063	1.0
ABCA13	1	1.0381171210306082	1.0
ABCA2	1	1.032823017556326	1.0
ABCA3	1	1.0325808439513693	1.0
ABCA4	1	0.9897577695966011	1.0
ABCA5	1.849661592364983e-05	1.3779098539877341	0.0002459519606528763
ABCA6	0.023862710459550504	1.6464623223376118	0.16174436828318
ABCA7	1	1.029554954349894	1.0
ABCA8	1	1.0323532009331482	1.0
ABCA9	0.003296701752484514	1.197131997216096	0.02650001067320141
ABCB1	1	0.9460176281671963	1.0
ABCB10	1	1.0553325405433247	1.0
ABCB11	1	1.028716013640529	1.0
ABCB4	1	1.1525469440657445	1.0
ABCB5	1	1.0453636682968042	1.0
ABCB8	1	1.045027942025744	1.0
ABCB9	1	1.1725131747262452	1.0
ABCC1	1	1.0422200105755712	1.0
ABCC10	1	1.0652537811860092	1.0
ABCC11	1	0.9743860494602887	1.0
ABCC12	1	0.9836570650610631	1.0
ABCC2	1	1.0762889661932393	1.0
ABCC3	7.942358929544187e-05	1.2090935998972854	0.0009078252682350544
ABCC4	1	1.1367061888092858	1.0
