gene	protein	rna	methylation
AGO3	0.0363914410330374	0.5669345952829768	0.0
C9orf64	-0.0357884507224537	0.0	0.0
TRIP4	-0.0438807481865444	-1.5118367964208246	0.0
SWAP70	-0.0360814518576977	-1.307864083355453	0.40859512375210355
AGO4	0.0292081671621307	0.6854419352934503	0.0
CUL7	-0.0303832471627935	-1.4621078140572599	0.0
ADK	0.0357152737584334	0.4878383701208525	0.0
NPEPL1	-0.033648784167218	-0.6031375241816516	0.0
ATRX	-0.0334995309628755	-0.4510321736513899	0.0
RAB34	-0.029470630080017	-2.6496751259978666	1.602174180979725
EDNRA	0.0320428156615118	0.7611643458862724	0.0
MSN	-0.033730325208808	-1.777905790628387	0.4099011706610203
ARSD	-0.0270507373780259	-2.344929313812454	0.5805109951675166
CCDC61	-0.0259292115010489	-0.6154615728519635	0.0
OPHN1	0.0331498583157201	1.4819651670398732	0.0
DRG2	-0.0356496304167059	-2.0518461935891916	0.0
LGALS3	-0.0296836029842297	-3.1903557610800557	0.4206879268500747
POLR1D	-0.0302369206437229	-0.9672413701077279	0.0
TAGLN2	-0.0376475332541836	-2.049451336907739	1.0398792177935157
RBP1	-0.0277126426746218	-4.098030127514087	0.0
FBXO17	-0.0265657146174575	-3.9925662933359263	-0.6329285049873374
MTARC2	-0.0260918351066696	-2.6352098158601573	1.7870494635434209
CPQ	-0.0285559840087166	-2.0001622906332703	0.45658055555654264
RRBP1	-0.0265551758627816	-0.8996555857998751	0.0
SH2D4A	-0.0267759316955521	-3.1999148017703245	0.6498132627161888
CALCRL	0.0234849077478593	1.708311413754193	0.0
SSH3	-0.0273965225054032	-1.9033581071416321	2.319150752830932
TFAM	0.0283377690401671	0.6251550788739283	0.0
PRXL2A	0.0290057382088368	-0.07504578016356593	0.40661558793584335
NUDT4	0.0286356241416634	1.1990369166988744	0.0
CYP27A1	-0.0271445688232186	-2.071643518335032	0.8235318349170446
MASP1	0.0307856647773027	0.11132081767328302	0.0
SLC43A3	-0.0286255972805779	-1.4192148864077647	0.7395041929525755
AIFM2	-0.0257663771196323	-1.1924768615927026	0.4923015892395583
CCDC8	-0.0241215324518022	-2.9883748005538893	0.0
FKBP9	-0.0266541260578327	-1.9069506192132901	1.8984186052492011
RGN	-0.0235744422170985	-2.818341649901444	0.41746155454558065
ANKRD35	-0.023942512859776	-2.134173326422078	0.4953439141004011
BORCS5	0.0290966308891418	0.006580247320978987	0.0
LRPAP1	-0.0246012930277554	-0.36748714558098855	0.0
KCNIP3	0.026734975728397	1.171215825022941	0.39972717423440013
RAB3GAP1	-0.0297695273670576	0.20123118201878085	0.0
WWTR1	-0.0257475425079795	-1.765449762330784	0.0
GID8	-0.0233829060908281	0.3515331436835031	0.0
PLEKHF1	-0.0269291795396552	-1.4397674685200303	0.0
SLC12A7	-0.0244013761156548	-1.0188811633290789	0.0
SLC27A3	-0.0237437408348955	-1.7779862762045844	1.1092534919447568
SMOC1	0.0275229394902505	2.8373991155018685	-0.3936719971206543
TFRC	-0.0218646587355856	-1.1069786034218958	0.0
CDC123	0.0241107598772102	0.8005303795000821	0.0
CRYAB	0.0291957672196388	2.1754360570644997	0.0
EFEMP2	-0.02407175972086	-3.0742895309246707	0.5893946527556064
JAK1	0.0275396084592302	1.124409061668711	0.0
TPPP3	-0.0243565162729601	-3.0261193852248676	2.2752386445289443
LARP1B	-0.0271716304589907	0.046580121041258755	0.4294503807666638
RICTOR	0.0257572377524038	1.1125779377281861	0.0
HDAC5	0.0212963426504586	0.5852873227598001	0.0
PDLIM4	-0.0218327860871408	-3.837350968559607	0.0
USP4	-0.0226189652963907	-0.25971267336440645	0.0
ABI1	0.0251165751136068	0.8150561396495171	0.26830123648826254
ANXA2	-0.0266824485565629	-2.4888489815686454	0.6324814497192957
EFNA1	0.0267025559160239	0.2558964633768489	0.4416744217767893
PDE8B	0.0254714645989027	1.0807433610187318	0.0
PTBP2	0.0215402536823066	0.857025717330294	-0.28581016161744854
SGCD	0.0241649438489549	1.4536595312362808	0.32542107917656665
FCHSD1	-0.0257725145552009	-0.972155430119228	1.1329318468047682
SGCE	0.0215721421338355	-0.5287408445411912	0.0
WAC	0.0224180631158186	0.7495680222949055	0.0
GSTA4	0.0211120587720474	0.6163770670800844	-1.228893446436234
TOM1L1	-0.0244873522500659	-3.1787394288938193	1.3424239004186185
C1QL1	0.0272927071776481	2.0242563109274574	0.0
FABP5	-0.0207578969036702	-2.648179765764022	0.0
RAB3GAP2	-0.0306919003611813	-0.31391519175909355	0.0
TATDN1	0.0270071709912783	0.7415901124898039	0.0
AGO1	0.0233155536173018	0.4949728230044363	0.0
ARHGEF10L	0.011932579052609	0.7130197966430475	0.0
DCTD	-0.0294306319543836	-0.9518059572442114	0.0
MACROH2A2	0.026465092630781	2.0471446101231243	0.0
UBTD1	0.0254965096691597	-0.1977013426267903	0.0
ALG1	-0.0237999082600279	-0.7005298733161265	0.0
C19orf66	-0.021042785806711	0.0	0.0
CARS1	-0.0190106479803658	-0.37793125039621156	0.0
