gene	protein	rna	methylation
AGO3	4.45558011505929e-05	0.010891715814437	1.0
C9orf64	4.45558011505929e-05	1.0	1.0
TRIP4	4.74853290068024e-05	3.1235619519307454e-06	1.0
SWAP70	6.1132224203314e-05	1.123251733372343e-05	1.0382089888341075e-05
AGO4	6.927553654259e-05	0.0447626834417185	1.0
CUL7	6.927553654259e-05	1.5711062189875776e-05	1.0
ADK	7.37222223704002e-05	0.0140349925070997	1.0
NPEPL1	7.84379232583672e-05	0.037167700949748	1.0
ATRX	8.3437816034192e-05	0.0413609711724737	1.0
RAB34	8.3437816034192e-05	1.4462077337021926e-07	3.57415623343507e-09
EDNRA	9.43548514013731e-05	0.2426990549382874	1.0
MSN	0.0001003064252881	7.964735213175018e-07	0.0017955029986524
ARSD	0.0001066111309332	1.7680678465525074e-08	0.0065761207916407
CCDC61	0.0001132884547312	0.0076084692275093	1.0
OPHN1	0.0001203588662951	2.039623799431684e-06	1.0
DRG2	0.0001278438625721	1.0686035557603209e-05	1.0
LGALS3	0.0001278438625721	5.847354768581771e-07	5.9330993475022176e-08
POLR1D	0.0001278438625721	1.6436346034736173e-07	1.0
TAGLN2	0.0001278438625721	3.985513459859106e-06	7.624866631328151e-09
RBP1	0.0001357660136274	2.8927103911485973e-09	1.0
FBXO17	0.00015301771268	1.386141597797629e-09	0.0008292047227111
MTARC2	0.0001623982027417	6.879096333750998e-09	1.4892317639312792e-08
CPQ	0.0001723178357034	1.2313066320861914e-08	1.466595441119524e-07
RRBP1	0.0001828052956368	0.0072098305693489	1.0
SH2D4A	0.0001828052956368	1.0199446154007374e-08	8.339697878015161e-10
CALCRL	0.0002056054188586	1.2950814340742247e-06	1.0
SSH3	0.0002056054188586	1.7680678465525074e-08	7.624866631328151e-09
TFAM	0.0002056054188586	0.0009762627739477	1.0
PRXL2A	0.0002179826148205	0.9609274059017214	1.072246870030521e-08
NUDT4	0.0002310568268426	2.9385766860787017e-05	1.0
CYP27A1	0.0002448642748455	7.373093605306537e-11	1.1913854111450234e-10
MASP1	0.0002448642748455	0.333350369642741	1.0
SLC43A3	0.0002448642748455	4.938324829134593e-05	2.6719200615749444e-06
AIFM2	0.0002594428790521	4.938324829134593e-05	4.622575395242691e-08
CCDC8	0.0002748323294726	2.3029327013435383e-05	1.0
FKBP9	0.0002748323294726	7.964735213175018e-07	2.382770822290047e-10
RGN	0.0002748323294726	2.4264015437788544e-06	3.55032852521217e-08
ANKRD35	0.0002910741576738	6.333013071269706e-06	0.0001374640740931
BORCS5	0.0002910741576738	0.7115394354951816	1.0
LRPAP1	0.0002910741576738	0.0082412278184199	1.0
KCNIP3	0.0003082118108775	0.0068289848572927	8.339697878015161e-10
RAB3GAP1	0.0003082118108775	0.3814240273847962	1.0
WWTR1	0.0003082118108775	4.938324829134593e-05	1.0
GID8	0.0003262907284342	0.076793279454561	1.0
PLEKHF1	0.0003262907284342	3.119121383422056e-05	1.0
SLC12A7	0.0003262907284342	0.0032921453630735	1.0
SLC27A3	0.0003262907284342	2.642226739793388e-06	0.0319402566775652
SMOC1	0.0003262907284342	3.013014701808516e-07	0.0018734242509444
TFRC	0.0003262907284342	0.0001523632048957	1.0
CDC123	0.0003453584207179	0.0003260862521353	1.0
CRYAB	0.0003654645504838	0.0003401678606384	1.0
EFEMP2	0.0003654645504838	6.04593675635136e-10	2.7044448832992037e-08
JAK1	0.0003654645504838	0.0430413980217813	1.0
TPPP3	0.0003866610167363	1.0705805645841143e-06	2.7044448832992037e-08
LARP1B	0.000409002041145	0.6643231183501889	1.2665618305882744e-05
RICTOR	0.000409002041145	0.0001453023028199	1.0
HDAC5	0.0004573468011195	0.0013428218121061	1.0
PDLIM4	0.0004573468011195	7.196090204821812e-07	1.0
USP4	0.0004834714076229	0.0991773443342647	1.0
ABI1	0.0005109825054836	2.4921056385936093e-08	0.0022138977780487
ANXA2	0.0005109825054836	1.2950814340742247e-06	1.4892317639312792e-08
EFNA1	0.0005109825054836	0.4606960612628465	5.242095809038103e-09
PDE8B	0.0005109825054836	0.0136976104568259	1.0
PTBP2	0.0005109825054836	0.000753933486971	0.2844345114194878
SGCD	0.0005109825054836	0.000838809385005	0.0004741740146836
FCHSD1	0.0005399473180187	0.0048828609291045	4.352011768371657e-06
SGCE	0.0005399473180187	0.3107845423157232	1.0
WAC	0.0005399473180187	0.0002202327527254	1.0
GSTA4	0.0005704359654766	0.0039825239825297	0.0199612061364838
TOM1L1	0.0005704359654766	1.7680678465525074e-08	1.429662493374028e-09
C1QL1	0.0006025215703771	8.42997496197199e-05	1.0
FABP5	0.0006025215703771	0.0001673706896283	1.0
RAB3GAP2	0.0006025215703771	0.1630515641235619	1.0
TATDN1	0.0006025215703771	0.0162079744090727	1.0
AGO1	0.0006362803656886	0.0121104640333768	1.0
ARHGEF10L	0.0006362803656886	0.003866258959759	1.0
DCTD	0.0006362803656886	1.1782744274810902e-06	1.0
MACROH2A2	0.0006362803656886	1.866894335540168e-06	1.0
UBTD1	0.0006362803656886	0.5379476761145676	1.0
ALG1	0.0006717918058675	0.0025176260144355	1.0
C19orf66	0.0006717918058675	1.0	1.0
CARS1	0.0006717918058675	0.0618874827872338	1.0
LGALS8	0.0006717918058675	0.0010122000972896	1.0
POGLUT3	0.0006717918058675	0.0003855828165589	3.57415623343507e-09
ZBED3	0.0006717918058675	0.0010492647494399	1.0
KLHL26	0.0007091386807869	2.4495990166496564e-05	1.0
CUL2	0.0007484072325732	0.0228874450690773	1.0
PDCD4	0.0007484072325732	2.4495990166496564e-05	1.0
ERICH3	0.0007723096401445	0.0023626393301193	1.0
APOBEC3F	0.0007896872753736	0.0001385236698019	1.0
CD63	0.0007896872753736	0.0002994153566479	3.57415623343507e-09
CHST9	0.0007896872753736	0.0002105413766209	1.0
MARVELD1	0.0007896872753736	0.0223811551251778	1.1866198695004437e-07
