,OE,KD
CHRNA1,1.03419E-05,0.72823814
COL9A3,2.66072E-05,0.607146485
FAT1,1.03419E-05,0.99999987
COL25A1,0.000775788,0.008449477
ADGRL2,9.22376E-05,0.153742505
ARHGEF17,0.000953247,0.025553945
CPED1,0.000995306,0.024195516
COL5A3,0.000301259,0.085815407
CRYM,4.05048E-05,0.99999987
S1PR1,4.05048E-05,0.99999987
NXPH1,8.38757E-05,0.566571311
ANO3,9.22376E-05,0.539309475
B4GALT6,0.006087338,0.00665083
SPARC,7.38592E-05,0.99999987
LHX8,9.46122E-05,0.872443468
NEGR1,0.013551254,0.004091885
ASTN2,8.38757E-05,0.99999987
DCN,8.38757E-05,0.99999987
WNT11,0.010672575,0.006555665
BMPR1B,0.000317286,0.262973519
IFI44,0.010965748,0.006818522
BMP5,0.000118091,0.987835035
MDFI,0.000123528,0.873234862
CHN1,0.000317286,0.424130784
CACNA1H,0.022649008,0.004709473
TMEM159,0.000116991,0.99999987
COL1A1,0.000962555,0.16380127
COL3A1,0.000123528,0.99999987
CPE,0.000123528,0.99999987
COL26A1,0.0006022,0.27800651
TMEM98,0.000177323,0.929263704
TOX3,0.000144469,0.99999987
NLGN4Y,0.000266258,0.690912452
CD83,0.000123528,0.99999987
WSCD2,0.000419506,0.459052052
TSPAN18,0.000177323,0.99999987
SLC8A1,0.000177323,0.99999987
CMKLR1,0.000173984,0.99999987
AQP1,0.000177323,0.99999987
IGFBP4,0.000597177,0.41271304
RGS2,0.000177323,0.99999987
MELTF,0.004578328,0.054326016
CAV1,0.023549637,0.008577184
PLEKHG4B,0.000402197,0.66711
LBH,0.000441396,0.626714607
GDF6,0.000177323,0.99999987
PLXNC1,0.000402197,0.751822379
CXCL6,0.008159593,0.03813457
NFIA,0.002497989,0.132107154
NOTCH3,0.002353505,0.151744609
FBLN1,0.000285865,0.99999987
GPC6,0.017293059,0.017926339
PROS1,0.004444441,0.090298011
AC003112.1,0.005892538,0.063211578
LUM,0.015528171,0.021781817
SEMA3E,0.004702643,0.082969745
CCNA2,0.014858533,0.023208556
SCG2,0.000291231,0.99999987
FGF12,0.008159593,0.04924918
MSX1,0.012334475,0.029945536
HOXB3,0.000270207,0.99999987
CCDC8,0.000451094,0.967861573
ASIC2,0.000589113,0.817869227
CDC42EP1,0.009410651,0.048641071
NGFR,0.001926373,0.248254445
NFATC1,0.005027641,0.092258393
PCDH10,0.000539477,0.963497989
NDST3,0.017293059,0.025607255
DAB1,0.0006022,0.906227897
STC1,0.002823485,0.194472743
PGR,0.001578533,0.371645112
BCL11B,0.000748918,0.932280945
EPHA7,0.005486928,0.135806465
CACNA1I,0.001329496,0.597048667
TNS1,0.001032626,0.768183905
COL5A1,0.005459285,0.140781639
TLL1,0.004444441,0.195892544
CDH20,0.010965748,0.073942679
NEXMIF,0.010965748,0.07587184
SLC44A5,0.042615394,0.017512208
SHC3,0.000597177,0.99999987
CBLN4,0.001603167,0.617088903
ESRRG,0.011719844,0.077766545
KIT,0.000975675,0.99999987
ITGA7,0.00116031,0.859849243
PLPPR4,0.001096055,0.925664541
TNFAIP2,0.00098458,0.99999987
DCX,0.002353505,0.472266834
PID1,0.000707067,0.99999987
APOE,0.013112168,0.077910993
CDC7,0.033997355,0.029737929
ARHGEF28,0.000724045,0.99999987
RASD1,0.001096055,0.99999987
VASN,0.037927847,0.029130986
P4HA1,0.023684191,0.046242583
AGRN,0.002880688,0.443375312
CBS,0.018623985,0.062866491
METRN,0.021248107,0.055873456
IGFBP3,0.000884248,0.99999987
NKD2,0.004578328,0.302030043
LRRC4,0.000958022,0.99999987
HAND2,0.000919532,0.99999987
PLSCR4,0.042938446,0.028935211
PAG1,0.004578328,0.332119174
EFNB1,0.01376826,0.095833513
SEMA3F,0.00611786,0.236817899
MXRA8,0.037927847,0.03813457
MAP1LC3C,0.021248107,0.067388616
EPDR1,0.001122014,0.99999987
SFRP1,0.001510506,0.99999987
KCNAB1,0.01425795,0.114008417
HGF,0.002880688,0.63129242
COL4A2,0.001374639,0.99999987
TFAP2C,0.001240039,0.99999987
VCAM1,0.001603167,0.99999987
SATB1,0.001904149,0.99999987
VGLL3,0.01483822,0.128087909
SELENBP1,0.001510506,0.99999987
ELN,0.002426238,0.906227897
HMCN1,0.002083796,0.99999987
ITGA2,0.020530911,0.10290973
SFRP2,0.001762132,0.99999987
SIM2,0.015687509,0.139106074
DPP4,0.025965368,0.081527524
HECW1,0.001679615,0.99999987
CYGB,0.004368568,0.606224036
PTH1R,0.007880287,0.307848045
CENPU,0.018241366,0.12394296
CPXM1,0.002426238,0.99999987
CD24,0.035088338,0.070483099
RAB3B,0.004578328,0.596789461
NECTIN1,0.002497989,0.99999987
ARRB1,0.002823485,0.99999987
KCNMB4,0.001799227,0.99999987
CFH,0.008159593,0.347935023
CDCA8,0.001817514,0.99999987
HAPLN3,0.014436988,0.186178269
IGFBP7,0.002239973,0.99999987
EFEMP1,0.002106179,0.99999987
PRR5,0.043285512,0.063622497
RIMS4,0.007390765,0.427075229
SLC22A23,0.002377588,0.99999987
CDH5,0.002353505,0.99999987
ALS2CL,0.016597586,0.188173062
DKK3,0.002253015,0.99999987
IGFBP2,0.00468664,0.764271205
EMILIN1,0.022355065,0.144705582
DACT1,0.002426238,0.99999987
ACTA2,0.002823485,0.99999987
CREB3L1,0.020775019,0.174008019
ID1,0.004985743,0.800970012
FAM131B,0.016420303,0.241575136
PRDM6,0.002751353,0.99999987
GRIN3A,0.002823485,0.99999987
PELI2,0.030769452,0.129393303
FST,0.005027641,0.867576823
DNM3,0.004702643,0.95596469
MFGE8,0.003763414,0.99999987
COL22A1,0.002880688,0.99999987
LFNG,0.003176127,0.99999987
LGR5,0.009698526,0.495114012
MAP2,0.01113832,0.413711059
NUP210,0.004444441,0.99999987
RIPOR3,0.006123441,0.772177043
DCAF4L2,0.022187611,0.204422234
CKAP2L,0.012334475,0.387046217
DNAH8,0.004578328,0.99999987
ADAMTS1,0.003281111,0.99999987
ZEB2,0.005058999,0.99999987
ITGA11,0.003991843,0.99999987
TRAPPC6A,0.040622945,0.123751912
SIAH3,0.004578328,0.99999987
ENTPD2,0.021132592,0.235164081
NTNG2,0.011719844,0.459052052
HSPG2,0.030141579,0.177815261
TAS1R1,0.012334475,0.435512636
TACC3,0.009525039,0.626379261
RORB,0.021132592,0.249446813
ESPL1,0.007880287,0.763152078
DUSP15,0.027815608,0.195891014
PARP8,0.004702643,0.99999987
CDH15,0.010965748,0.563346872
LRP1B,0.004444441,0.99999987
ANLN,0.011719844,0.532027609
LAMP5,0.004444441,0.99999987
NSD2,0.004444441,0.99999987
ST6GALNAC5,0.04084186,0.152990632
E2F8,0.004578328,0.99999987
CHST15,0.004578328,0.99999987
SDR42E1,0.004578328,0.99999987
COL4A1,0.004578328,0.99999987
GHR,0.005058999,0.99999987
SSC5D,0.012078343,0.606951267
SORBS2,0.006513321,0.99999987
PDZD2,0.004792487,0.99999987
