rna	protein	methylation
TSPAN6	-0.374037533729101	0.00827009054302354	-0.0981404317989913
DPM1	0.0316241257722612	-0.0046713015624654	-0.0710021291521618
SCYL3	0.41963132688769	-0.00452787225786072	0.00788775635722026
FGR	-0.343168635422398	0.00247292966791346	0.279546560400448
FUCA2	-1.12760168892641	-0.0163908813701938	0.523458103058915
GCLC	0.721580395105489	0.0187312418284206	0.13859234956317
NIPAL3	-1.24666086364353	-0.00173575778648114	0.00613038968119543
LAS1L	0.418951422415959	0.00672323833331023	0.025165261899448
ENPP4	0.1334166539591	0.00324835360865417	0.0215445489690166
ANKIB1	-0.262302908030927	0.00234761357154358	0.135606588457164
LAP3	-0.457606666399907	-0.00260028250010562	0.334381700285473
HECW1	-0.0783289303629033	0.00696763372234542	0.123566640752073
LASP1	-0.0255666303324112	0.00210230539899539	0.134542831938853
SNX11	0.0464028366358414	0.00129506149958919	-0.000241163943022993
KLHL13	0.997348176255431	0.00503644573337554	-0.0550155339735189
ICA1	0.75614396973526	-0.00854341115229732	-0.019432389423095
DBNDD1	-1.23513364274447	0.00196533142239622	-0.051078342048052
ALS2	0.0916263485880922	-0.00409677868810536	0.160948250519067
CASP10	-0.264859142274927	0.00848475420215072	0.17495996304241
CFLAR	-0.427718072279998	0.00172366937693035	1.49631117317477
NDUFAF7	0.247377189950841	0.0037172290473542	-0.00328405362099578
RBM5	0.35706243269883	-0.000538462563503551	0.0130295655511669
MTMR7	0.837186756047814	0.0152131263712493	-0.185924381138897
SLC7A2	0.0883033099886692	-0.00926765486792355	0.0385863979435197
SARM1	0.59099611192271	0.00116686262411233	0.185934914624223
POLDIP2	0.226129490247424	0.000459786808887692	0.0597754055581361
PLXND1	-0.479520875277536	-0.00838017903940428	0.0356454155750368
AK2	-0.115496665781819	0.000264299762064602	0.207232261565585
CD38	0.358214726555551	0.0132193878114824	0.285358567311598
RBM6	0.312327547546184	0.00948046915181667	0.0327999307469936
CAMKK1	-0.962919268010811	0.000398321570080023	0.0170287660039864
RECQL	-0.178060900670303	-0.00448585580395103	0.0343714822979
VPS50	-0.171107993927764	-0.00284506356199177	-0.0832718834492224
HSPB6	-1.88384280283601	-0.0106082389216699	0.685655627026941
ARHGAP33	0.64203308555241	0.0106287027863641	-0.120393576669425
NDUFAB1	-0.029873944443738	-0.000391935022727518	0.0110858290331946
ZMYND10	-2.21473228972566	-0.0141502336863593	1.67272347399568
SLC25A13	-0.16469924420474	-0.00617467599686963	0.12622131277767
ST7	0.17444191454124	-0.000176784266210666	0.0387997400903592
CDC27	0.244435869755064	-0.0168948274967487	0.0570770507889731
SLC4A1	-0.0506006372598423	0.00285925866751618	0.112884284725729
HCCS	-0.353222617840089	-0.017788067627276	0.00026596996186393
DVL2	0.311065531842457	0.00879553528525284	-0.00607279168437323
UPF1	0.201063169152876	-0.0127378089597786	0.216907655392203
SKAP2	-1.10743075936252	0.0030218847162908	0.190951394978542
MCUB	-1.83868668323387	-0.00775706877215105	0.441581740355636
POLR2J	-0.341466938090732	0.00557010658553974	-0.132939707552401
DHX33	0.392235877051738	0.00364125244535579	0.00626304498780104
THSD7A	0.29140625746741	0.0066612090751606	0.018208589857296
LIG3	0.532188797588731	0.000255254032160023	0.214184598826843
RPAP3	-0.0611277015264005	-0.0104525148538807	-0.00319399850163945
CIAPIN1	0.354691985597732	-0.00517946153610387	0.0118273303724247
SPPL2B	0.0115435197730414	-0.0201553002407995	0.0759251866894773
COPZ2	-1.60520356267271	-0.0161177631313188	0.0184386343087987
PRKAR2B	-0.848442521802916	-0.0049367628651422	-0.0164043885914175
MSL3	-0.0755263682470456	0.00820122739185612	0.0541006365970132
CREBBP	0.396877841364376	0.012343342939691	0.0599253295396198
MPO	-2.51226203156328	-0.00761745890803553	0.155291206323134
PON1	-0.106799289837181	0.000769975610562051	0.170744284616657
GCFC2	0.368501623948561	-0.00642806590521044	0.00215503713167221
CROT	-0.360730642500052	0.000711336483540369	-0.0216249722634498
KMT2E	0.180291559165447	0.00907303832128167	0.154410876540177
RHBDD2	-0.752679157062435	-0.00371484201726854	0.261195314652171
SOX8	1.65359130866647	0.016470690511952	-0.503106603512549
IBTK	0.290581894220876	-0.0150035902006643	0.128461451509385
ZNF195	0.164318340720793	-0.00794454061583081	0.0931284052595287
MYCBP2	0.225897414743461	-0.00126828937262042	0.0738126093979586
ITGAL	0.726882929186176	0.00749908803296479	0.231748494096223
PDK2	0.038419833979394	0.00708404661044404	0.0253256929605113
ITGA3	-1.56971742013213	-0.00163978355804756	0.17149153665879
ZFX	-0.145691748106876	-0.00221827400665782	0.0531227808349827
LAMP2	-0.410633086784763	-0.00150553513711914	-0.23394744870947
ITGA2B	0.321243228435915	-0.00293607289515146	0.304034694938126
GDE1	-0.119770989217335	-0.00363100025741726	-0.00828679120363413
OSBPL7	0.620108622463294	-0.000297973125292121	-0.0424469917465426
TMEM98	0.718443848166049	0.0021925813551926	-0.257562379583311
ABCC8	0.447508075044664	-0.000933412237818947	0.133768530937628
CACNG3	-2.45308786253982	-0.00544658445213286	-0.166520645507502
TMEM132A	-0.238687782559549	-0.00812244507830542	0.0253791847140182
AP2B1	0.402404130304626	-0.00594129396793118	-0.0440712489997741
TAC1	-1.97118888162851	0.00795711137568098	0.0305486828760845
CX3CL1	0.777572210534894	-0.00403004781782187	-0.0691104539968377
SPATA20	-1.22854185925014	0.00057679821849959	0.101849108126647
CACNA1G	-1.38980552596979	-0.00484436392337204	-0.0319790655218183
TNFRSF12A	-1.84847160856072	-0.00419550821517263	2.36690301498726
RALA	-0.0882227464634404	0.0105138049960819	0.0794052325070205
ETV1	1.373297342805	0.00677880790363306	-0.209460222090153
AGK	-0.171576840230001	3.62178805672399e-07	0.120264348218642
ALDH3B1	-0.438929250944071	0.00518802045305929	0.0461964928675127
FARP2	0.135253044612982	0.000332561430807114	0.097351830700413
IFRD1	-0.284551219127703	-0.0091699036821134	0.246796269413412
PAF1	0.0387622787430306	-0.00740289704721242	0.0905560486699371
VPS41	-0.0383307951795747	-0.00794008451028938	0.0852363920656936
ARHGAP44	-0.815759249242555	-0.000175070408350631	0.0844938295466517
ELAC2	0.135522581052503	0.00378307503617553	0.0200546965801679
SCIN	0.0505525526769962	0.00421281756919202	0.0430134523890922
ARSD	-2.34492931381245	-0.0270507373780259	0.580510995167517
MARK4	-0.059488874849782	0.00268038961444692	0.172938032177498
PROM1	-0.828320074194537	-0.00902263504797094	0.464861870130628
CCDC124	0.233444498199315	-0.00857473932963393	0.0431026468089418
PAFAH1B1	0.0402586518650404	0.01262280796084	-0.012033195183986
NOS2	-3.2873543812234	-0.00624772257345147	0.332800660631559
DNAH9	-1.01485377928881	0.00319911390659444	-0.312225369918676
GAS7	-0.133397041016254	-0.00550349511750676	0.0899095079829129
MATK	-0.634259937623962	0.00383265922936267	0.191476052985108
TKTL1	0.578417439209005	0.00173897100717067	0.18933163606213
PAX6	-0.252781452356986	0.00269740328128183	0.307603274341084
RPUSD1	0.0877863969690681	0.0100058652335362	0.0263571726224527
RHBDF1	-0.673204609927488	-0.00689994123351567	0.0287829695940127
LUC7L	0.150936330919742	0.00651273501544011	0.0238334713436723
CACNA2D2	0.31148585819977	0.0138703112676112	0.0617402795393437
BAIAP3	-1.60645378910583	0.0108483235046091	0.271460763963577
TSR3	0.0793824971223722	-0.00831409261278212	0.0217519445337192
PIGQ	-0.169443558777801	0.00374860277897161	0.494890704894087
TEAD3	-1.28743927965177	-0.00188534076400841	0.124824580577119
DNAJC11	0.395886173526908	0.0103617106436913	0.0637824717513164
PSMB1	-0.1610423827221	-0.00117911740215643	0.0488071931247632
SYN1	-1.26224242913545	-0.0030055505855155	0.0732553497981144
JARID2	0.681090088537326	-0.00804947643821225	0.0401182605828043
CDKL5	-0.315625457369326	-0.000188749653932524	-0.140941049027998
CAMK1G	-1.75859196244448	0.00346829303113815	0.305191362776179
NADK	-0.154989951269968	-0.00393304681141686	0.122200454426457
CYTH3	-0.147081597088785	0.00586385813596393	0.0835362849596712
ADAM22	0.813288486293886	0.00567532175725492	-0.279979970708529
SYPL1	-0.761745349481785	0.00449663347055322	0.179275955254937
CYB561	-1.59663930858073	-0.000172497209110461	0.250855930225281
SPAG9	0.44317099094109	-0.00996293667819421	0.719870962324721
CELSR3	0.686458514449099	0.00642168111081012	0.015431169244738
AASS	0.196327040147209	0.00566920386424183	-0.0299311344048949
MPND	0.419934035139864	0.00988416174847861	0.0380215411969878
MGST1	-0.830872615343899	0.00683892462337651	0.0101870598262561
CRY1	-0.0510659793005335	0.000449013565096726	0.0216313065923003
PGLYRP1	-0.957162784790498	-0.00880552275819577	0.490744550666383
NFIX	0.469077716086474	0.0118772036617863	0.0602174857222137
MAPK8IP2	0.0307643133410238	0.00784753945615313	0.0792566272436678
MED24	0.612588676074903	0.00329119545851524	0.0341438543751015
HEATR5B	0.379876316941004	0.00230810998115699	0.169812635239476
RPS20	0.499425979100497	-0.0102989961131343	-0.0346074111695661
CSDE1	0.352434262991034	-0.0119170977299648	0.0594749024507814
UBE3C	-0.496581901894524	-0.0132515809670906	0.0511056580323268
TENM1	-1.17492854727749	0.00121429498620932	0.0868013953673834
MASP2	0.644888146015074	0.000633484811584652	0.0553502617290813
FAM76A	-0.345162667775961	0.00499219526686928	-0.00468830490598585
TRAF3IP3	-0.118349268297748	0.00372552083780277	0.119914715799306
POMT2	0.217402755810419	0.00525808947820462	-0.0302067690769985
VTA1	0.444113625147028	0.0078560709815584	0.0368870784126936
BAZ1B	-0.30865178687095	-0.00443073879686757	0.19973535747966
RANBP9	-0.121449227918017	-0.00856035275712572	0.202443349635879
SPRTN	0.352845401076996	-0.00102989346920226	-0.00525097415763501
ZNF207	0.283422269227512	0.0102756502945739	-0.129829714543649
UQCRC1	-0.0730621128341646	0.00153047191238695	0.0166533535753226
STARD3NL	-0.356911915453469	-0.00558201748028474	0.182832169961141
CD9	-0.454348367223655	0.00264903532063312	0.234192186868599
NCAPD2	0.385051279098817	-0.0147838293166705	0.0130974122299497
IFFO1	-0.0773638615270277	-0.00205645839399041	0.340595624326756
NISCH	0.232411186851092	0.00215840594036	0.0325918639627805
STAB1	-0.567544538808639	-0.000937868611925928	0.160353082911698
PRSS3	-1.10907874899266	0.00456733158975146	0.160190522834512
CD4	-0.0621230143636423	-0.00249896458455833	0.320242263098186
BTK	0.0211994947351372	0.00164700133853066	0.0559612531128689
HFE	-2.15318172135432	0.000251767034880315	0.889764371994982
SCMH1	-0.190029657925788	0.000230705084599208	0.128130218734975
FYN	0.610951636644448	0.00515453662430125	0.0903823860822966
HIVEP2	-0.429765029807858	0.00784665337003666	0.0842587706128414
LYPLA2	0.0381164169114535	0.00378379422466276	0.102497995695768
CLCN6	0.413746744861479	0.0109909321951247	-0.0555981791118131
MRC2	-1.8191943227454	-0.0142864281627669	0.223582953921693
SLC6A7	-2.01814600219633	-0.00164552037591864	0.0456628918124805
TSPAN9	-0.722805196171904	-0.00194095032346563	0.0470874818582599
APBA3	0.0962840088404663	-0.013551957467038	0.0797157460555296
MKS1	0.357292981527552	-0.00651333365124904	-0.0381033870105333
ABHD5	0.0995398850302555	0.0103070203424778	-0.00768588960270271
ANOS1	1.00434095012681	0.00241246527064536	0.0163579105989335
AKAP8L	0.253643624001499	0.00609141442425424	0.0752848879601044
MBTD1	1.06154220408294	0.018454396608595	0.0927031249464498
UTP18	0.200357710572986	-0.00260756447828732	0.0131296058005317
RNF216	-0.291617512185928	0.00809203079897819	0.0936228611964151
TTC19	0.201999910452868	-0.00723632765797281	0.292476841557946
PTBP1	0.146739003324812	-0.000792935759060356	0.120733796298425
DPF1	0.360869034283294	0.00324767048682659	0.100288442308072
SYT7	-0.97130517044108	-0.000370686696222374	0.102050420095777
LARS2	-0.154234249493772	-0.00039057359241668	0.216518576018112
PIK3C2A	-0.320671552182656	-0.00810212031204678	0.00672152726854878
PLAUR	-1.56402498437563	-0.00894530616555824	0.38704855509397
ANLN	-0.753279056380327	-0.00609108981883753	0.00116319035474854
WIZ	0.301840458338084	0.00429763772062328	0.00244354675520905
RABGAP1	0.634585620536491	0.0127952105729911	0.0435329910133448
DCN	-1.74403709684923	-0.00753977116342595	0.115009091851779
QPCTL	-0.67190200854697	-0.00225038814517178	0.0451876823728178
PPP5C	-0.177555322591153	-0.00563933644228132	0.0840299375117017
CEP68	0.579227201385316	0.00960517944639105	0.0964736185487084
MAP4K3	0.35590069395115	0.00515793998164759	0.0859065170539915
TYROBP	-0.455749377911017	0.00218276516202252	0.272895526848955
GABRA3	0.962489261167463	0.0111616328607699	0.0702658827287342
BRCA1	0.0440057315203682	-0.00578605056509752	0.0907829158421991
ERCC1	-0.142353113039099	0.00685366573565865	0.248684109023021
SEMA3B	-0.688181662395911	-0.00554682257106581	0.24964927742817
PRICKLE3	-1.87482529661413	0.00629463778006368	0.371599944996311
LTF	-5.31392154779053	-0.0110685233015736	0.20237831825098
EXTL3	-0.464584778883401	-0.00960715322663441	0.0649746993813541
ELOVL5	-0.093555401537766	-0.00875366455573661	0.0523595017005582
ALOX5	-0.513486070222724	0.00351865187158259	0.424504604138736
CALCOCO1	0.496716300831751	-0.00833139664231507	0.10137503757487
UBR7	-0.144109192626918	-0.00232420000580403	0.184113211024914
MAP4K5	0.724557318068063	0.0135129671558121	0.282308442707543
EHD3	0.723695247957395	0.00269427510181148	0.0652721112461889
PSMC4	-0.0176434492197329	-0.00520270984087903	0.0309219535771924
MAN2B2	-0.214610605744841	-0.00854982641051821	0.0519944291699044
MVP	-0.414623535370467	-0.00690313321615447	-0.00733215635959552
NUB1	-0.206058639864014	0.00131505160462108	0.0361602992570683
PGM3	0.353080732649567	0.0141854904624453	0.145778841965803
RWDD2A	0.457439967694526	0.0121467018611971	0.0420835543370391
CLK1	0.516544473670223	0.00172515379837498	0.172340365154623
POLR3B	0.802544461362014	-0.00592325869022243	-0.0594461443255503
ANGEL1	0.502083356799312	0.00551684164007582	-0.0226675124862164
DNASE1L1	-0.337421050445409	-0.00313097865813926	0.278212946860773
HEBP1	-1.14670165343682	-0.00866536490502727	-0.015434378776578
MAMLD1	0.622397698088823	0.0119710165122669	0.390264104913947
