rna	protein	methylation
TSPAN6	0.321944126231437	0.136419797788146	1
DPM1	0.883139971374672	0.32441362099169	1
SCYL3	0.130187293908818	0.199913511108796	1
FGR	0.406910283002319	0.402455548030431	2.67192006157494e-06
FUCA2	7.89506439400061e-06	0.0081667348925709	3.83745240929812e-07
GCLC	0.00182142010732022	0.0071547772203169	1
NIPAL3	0.00243908072352039	0.899765938477385	1
LAS1L	0.0244630957754126	0.346718640199318	1
ENPP4	0.36904074503398	0.619598904466966	1
ANKIB1	0.456073861307055	0.672786708421045	1
LAP3	0.0585429592498171	0.640655901322456	0.000957430913464735
HECW1	0.500250786213619	0.175134047312123	1
LASP1	0.984967180393689	0.578420892719129	1
SNX11	0.446904811927386	0.958636533973896	1
KLHL13	0.00029941535664798	0.205162605871226	1
ICA1	0.004865716039015	0.194763176462798	1
DBNDD1	0.00207699329951017	0.52475223219964	1
ALS2	0.714449857456282	0.519184084823926	1
CASP10	0.394610255022072	0.221509489353476	1
CFLAR	0.0297317906191519	0.920660000993417	2.38277082229005e-10
NDUFAF7	0.411250381215378	0.500158378158135	1
RBM5	0.218514771601426	0.86468577953023	1
MTMR7	0.000812504583142942	0.06505208209248	1
SLC7A2	0.88909472192918	0.210074351290585	1
SARM1	0.0195332645485801	0.829870331803484	1
POLDIP2	0.175229329536633	0.829870331803484	1
PLXND1	0.128185373468058	0.18475576467892	1
AK2	0.653367298215227	0.876353071543692	1
CD38	0.30348208784289	0.107878014597277	6.37750993356753e-05
RBM6	0.209887560570599	0.215959922023962	1
CAMKK1	0.583971051041197	0.454259357818172	1
RECQL	0.545338674035821	0.427901135282375	1
VPS50	0.321944126231437	0.81833550301967	1
HSPB6	3.50886360293813e-05	0.107878014597277	4.76554164458009e-10
ARHGAP33	0.0484135070408113	0.0531363850298677	1
NDUFAB1	0.853467196636022	0.829870331803484	1
ZMYND10	0.0178064079893946	0.074465545285947	1.56976941772468e-06
SLC25A13	0.583971051041197	0.346718640199318	1
ST7	0.553093371320231	0.598849415191798	1
CDC27	0.114805876253086	0.0125279726152653	1
SLC4A1	0.349224009368175	0.716565579503623	1
HCCS	0.0278816666455329	0.0167028816738824	1
DVL2	0.209887560570599	0.0387174650724041	1
UPF1	0.680885768260498	0.022052972831095	1
SKAP2	0.0118122596655727	0.436586762436574	1
MCUB	6.82124704132376e-06	0.419316947256383	2.7044448832992e-08
POLR2J	0.0563937282574093	0.402455548030431	1
DHX33	0.0715439325890635	0.402455548030431	1
THSD7A	0.275665462656753	0.199913511108796	1
LIG3	0.00148866431445985	0.970448180392886	1
RPAP3	0.806416705738058	0.0694834893535557	1
CIAPIN1	0.0389395872155092	0.331742496067516	1
SPPL2B	0.823991467312772	0.0041389259826164	1
COPZ2	0.000385582816558933	0.0147835294423952	1
PRKAR2B	0.0607563437041811	0.346718640199318	1
MSL3	0.307119580544439	0.322202111189999	1
CREBBP	0.159733032050099	0.0495941614031043	1
MPO	0.0039124687482042	0.157020334542396	1
PON1	0.522543448022636	0.899765938477385	1
