gene	pvalue	FC	fdr
CMSS1	0.15868925724665472	1.0915001508610964	0.24082005388433328
STX16	0.15868925724665472	0.8090340038617978	0.24082005388433328
TLE4	0.01394890490392668	1.8600004225598183	0.03206131093432051
LRRN1	1.2011282152749834e-05	2.4447331639669305	0.00010100992333392231
YKT6	2.2409588101536216e-08	0.4459983116239378	8.82389981269156e-07
RGS3	0.00021801536201671173	0.5837386979645796	0.0010446225526160398
BRD2	0.0026696127818691805	0.7918093904990442	0.008094262300126626
MMS22L	0.4137744825729498	1.301391994863884	0.5183956767807465
CAMSAP3	0.35908751393411564	0.9804788156422329	0.4640559885784112
RGL2	0.0013124685666586152	0.6435483606387362	0.004563506776417583
STK32A	0.4783387589504242	1.3853940524949062	0.579019297024359
MROH2B	0.33897765660580403	0.799684269716256	0.4426976695255248
NUP54	0.23290510414793042	1.0855612349758106	0.32799598954038933
IL5	0.027045649841581126	2.1591927818542547	0.05587941575827611
CEP70	0.695894823170777	1.202316081445013	0.7713831949804816
TRAF5	0.025181464404459664	0.9727527733380736	0.05260438195975251
ARL6	0.16580656019401352	0.9018071254289802	0.24975996260118385
VARS2	0.044591315140127236	0.8158069192078391	0.08434240259062857
DEPDC5	0.7134854939891462	1.0832373397657729	0.7861606534415573
LAMA5	0.00016664647796007636	0.5344299679883052	0.000843177882060135
PPT2	0.003956694350311104	0.827920588916336	0.011199467602741606
HDAC9	0.705927320278288	1.0336677662107951	0.780015352208218
MFSD9	0.036644268568612096	0.9908416953768545	0.07172205840795734
PFKFB2	0.6105329715886232	0.737582526613824	0.6993363322502304
ZFP69B	0.0004940340551909362	1.9682272308626443	0.0020221273790547926
GAL3ST4	0.00012169358420939336	0.5915943200626783	0.0006542137799169421
SNAP23	0.00013771759808705076	0.6986675430979353	0.0007251762616655133
MYO9A	1.1463118892871621e-06	1.8429844387316185	1.614586674584994e-05
TPGS2	0.12906834238714343	1.1651816513667779	0.20251998206711655
ARHGAP33	0.04568049441730813	0.8005780655958906	0.08595228635237152
EVPL	2.6914149622361704e-05	0.4472278724775995	0.00019284241068604152
CDC34	0.024744017727828353	0.7310230921326404	0.05190472950389376
HSH2D	1.9056340041554453e-06	0.8690124825673082	2.3729599028350353e-05
EPS8L1	1.530308361249939e-06	0.40265608781264656	2.0107313151902557e-05
GPX4	0.0005817644022683321	0.6909336169168396	0.0023222084802416256
QSER1	3.46147363271797e-06	2.548311351660087	3.767435583423201e-05
RBM12B	0.06342507211908588	1.2010878233342825	0.11218095956059919
CTNS	1.1463118892871621e-06	0.527893597708589	1.614586674584994e-05
FERMT2	0.3027893674905606	0.8782665471236691	0.4049456413740844
TP53I3	0.12992393418375664	0.8715975307581284	0.20363752231773408
OR2B3	0.3718900048956991	1.0660258195444305	0.4766379021155076
CEP112	0.3546737322942125	0.8574858496384208	0.45935705449317676
DYM	3.517088478698921e-05	1.4250765717539886	0.0002382235885094273
CSNK1D	2.5744027300767136e-05	0.5843229416689305	0.00018618711009889507
TVP23B	9.356637142108605e-06	0.5505149967601917	8.231957914392391e-05
MAP3K3	0.08966917757967638	0.9204110377323758	0.14994791973709756
RBP1	8.009235434493631e-09	0.2689605069716466	4.353240572508977e-07
TFDP2	2.146374972698957e-07	2.103314970819812	4.448142472661148e-06
WDR46	0.037256952110452275	0.8049743017693658	0.07274445558623735
GCG	0.22345108714324202	0.4244814655487801	0.3175593369498801
GIGYF2	0.0020612797671424143	1.4393949059418703	0.006552532506996132
SLC44A4	0.05222878078826151	0.6141536646783955	0.09600018327668108
HLA-DPB1	4.075306417560435e-06	0.44378723241489826	4.260197900457424e-05
GPLD1	0.2996247633866138	1.1222405891247846	0.4018963802004096
NLRP12	3.192032915927873e-07	0.32735557412661925	5.985146162679998e-06
MLH1	0.002441525044846543	1.516406567501724	0.00752502735599859
RGS4	0.8963375241803869	2.6031938893144253	0.9288382122318426
SLC25A22	0.0020612797671424143	0.6852124968149867	0.006552532506996132
FIBP	0.005322509017063483	0.7650932611399243	0.014398402637152344
TMEM25	0.023679091133033216	1.253077229766639	0.04999640321570729
PACS1	0.7645614371350377	1.033377053502422	0.8283255337569999
TRIM3	6.65745474635611e-05	0.5985382886207402	0.0004017828360036918
SSBP3	8.698027888571635e-08	2.044033443824779	2.32459059061238e-06
MICAL2	0.10611029953014427	0.9188424359372952	0.1724608693244016
TACC2	0.028435182716450395	1.3518320976752238	0.05822755143335081
MAP2K6	0.552568108856907	1.012892122689931	0.6470363680171515
ASXL3	1.462183719144388e-07	2.994471806729497	3.413495826023638e-06
EPHA6	2.169487086112169e-06	3.5413856631774574	2.631152750090453e-05
CRHBP	0.46375857710461177	1.67484100972499	0.5653527565725446
SPON2	2.9709650430180097e-07	0.4349577261397798	5.660549357297818e-06
CUL9	0.004130007861193812	0.7327492635517885	0.011613967511901788
C16orf89	6.399068538590794e-06	0.4065214995042863	6.15575468722747e-05
BAX	7.693841465255868e-09	0.3394642558758901	4.2337632584741843e-07
DCK	0.888310979515776	0.953113481793017	0.9230578375580598
SMG9	0.0002456874071067111	0.7655853357726313	0.0011519807267858732
