gene	pvalue	FC	fdr
A1BG	3.2564855822228973e-07	0.9594342085747147	1.479157724061747e-06
A1CF	0.0008447341599277927	1.0985898631962598	0.0013776390790399542
A2M	1.50104103052828e-07	1.1307705178932734	8.051520439370775e-07
A2ML1	2.0145976287279783e-06	1.1097863658212368	6.481897415025585e-06
A4GNT	3.2019691735135744e-05	1.112018343732633	7.107163628298882e-05
AAAS	1.3644281091892411e-05	1.1604018880015563	3.3395708960807285e-05
AACS	7.700782274219802e-06	1.0330430493793368	2.021055928814948e-05
AADACL2	0.0576015693518477	1.1120343736061626	0.07096760187980262
AADACL3	0.0033270005917861363	1.0901198234987963	0.0049085303706204245
AADACL4	0.3665667940414362	1.0361446492590005	0.40078391915507067
AADAT	0.41791094103476134	1.0224238575078008	0.4527791081941101
AAGAB	4.890220864581092e-07	1.0371362954321823	2.046128796150523e-06
AAK1	3.503969802801474e-05	1.0514127471190264	7.710968629534122e-05
AAMDC	0.0001828926036849175	1.0225020419078537	0.0003402340347962068
AANAT	2.2306872491265458e-06	1.105943541671435	7.05748904579845e-06
AAR2	1.6411652763838187e-06	1.0382627003668436	5.481383695380939e-06
AARD	1.513404053111169e-08	1.1859851319771777	1.5670855065639525e-07
AARS1	8.772930875297672e-08	1.0368632365635173	5.374216734746516e-07
AASDH	0.009594834775715612	1.0808521589289182	0.013221640513377177
AASDHPPT	0.011813213102816017	1.0451507477706992	0.016072830949246854
AASS	0.6386980429985407	1.0055532555769175	0.6685124658841515
AATF	0.0053336173045770135	0.9566199317419064	0.007620887677285304
AATK	5.079781772405989e-08	1.063733333376957	3.6236413207294603e-07
ABAT	0.058972427375237536	0.91429067988218	0.07256821072925632
ABCA1	1.5874842508588585e-07	1.0542677888360426	8.41117309879144e-07
ABCA12	8.59831805170176e-07	1.0506152875323325	3.2203915130726057e-06
ABCA13	1.5587690443710074e-06	1.0533517916226067	5.254744413402596e-06
ABCA2	0.00010011707156236449	1.022323815164768	0.00019719438774058558
ABCA3	9.759730127860834e-07	1.028132559401856	3.560507169933368e-06
ABCA4	0.004692199858469616	1.057497876088623	0.006761043554966186
ABCA5	1.6787322706849885e-07	1.2113344205339962	8.793359513111844e-07
ABCA6	0.003735150414962376	1.1377717167661605	0.0054603081108698165
ABCA7	0.05238036637296217	1.026283399377696	0.06491419393759211
ABCA8	0.00019402947448661856	1.0891448113267688	0.00035936644981782206
ABCA9	0.02480613309191126	1.0513676600028297	0.03220088082223473
ABCB1	0.001194444347458812	1.060051215677822	0.001898007452572466
ABCB10	0.00011131234409718305	1.0663886545332162	0.00021710412224016943
ABCB11	6.65934626911397e-06	1.128250815496646	1.7869697077099183e-05
ABCB4	5.837205618624216e-05	1.1250117709738794	0.0001214484392690729
ABCB5	2.34691294328889e-06	1.062250492490737	7.365337705008342e-06
ABCB8	0.22335469347991554	1.0040251062035712	0.2527036034154519
ABCB9	4.1590957707906335e-07	1.095952880001682	1.7946297271347872e-06
ABCC1	4.934501567414985e-08	1.0524821848004051	3.560158450254728e-07
ABCC10	0.008634004186498337	1.0450675615481522	0.011961685091817538
ABCC11	0.0025416155796602917	1.0397755118638365	0.0038097881405394713
ABCC12	1.6456448252230493e-05	1.0591364212088974	3.949547580535318e-05
ABCC2	0.00010011707156236449	1.0677005774267598	0.00019719438774058558
ABCC3	4.1842850675023405e-09	1.2367094132350056	6.764371387080462e-08
ABCC4	1.0704079533341182e-07	1.1248127548328268	6.232755171312587e-07
ABCC5	0.0005897899917698297	1.0502262287916961	0.0009903774419320814
ABCC6	0.6022862957693185	1.00676465356027	0.6338537139336006
ABCC8	2.062983750840203e-10	1.0970189788772522	1.2678580298685945e-08
ABCC9	0.6094936255405274	0.9556911860719841	0.6406393322050413
ABCD1	0.012711209413846453	1.196846528979823	0.0172067200733181
ABCD2	2.275383113389171e-05	1.5428576651741348	5.2524810920388714e-05
ABCD3	0.00011611289343320185	1.0287956780298608	0.00022568421540537827
ABCD4	3.599092516226005e-06	1.140267201389445	1.0510624162429926e-05
ABCE1	0.5256724720593569	0.977807032827732	0.5599795176042833
ABCF1	0.04992188820529619	1.0274936066316454	0.06203456638477375
ABCF3	0.012700196420260566	0.9417362821945499	0.017194878849407368
ABCG1	1.3827151700283904e-08	1.1449542631565317	1.477101779101405e-07
ABCG2	4.655925888337057e-08	1.3624664501235815	3.412697005550774e-07
ABCG4	0.00020748580642854345	1.1002025893292413	0.0003817276138147242
ABCG5	0.0005060314745528807	1.0226558152178635	0.0008599079574289408
ABCG8	1.077012887465293e-05	1.1525408649819109	2.7230272537846683e-05
ABHD1	3.349738100839346e-05	1.0494367974424963	7.399450577814504e-05
ABHD10	0.7141197893303755	0.9541742024358383	0.7393996590979537
ABHD11	9.147556201220642e-11	1.02538448958113	8.120462171609903e-09
ABHD12	0.04474234745989863	1.0057618541660955	0.05592793432487328
ABHD13	2.7514025791297254e-06	1.0374204815232675	8.407063436229716e-06
ABHD16B	0.00029820847354118543	1.1257743507039206	0.0005305056402619471
ABHD17A	0.5564049018962631	1.0027422570659963	0.5893264311181464
ABHD17B	0.0032720839313181488	1.017553524836369	0.004831264865033508
ABHD17C	2.5136275111200202e-08	1.0782934010829215	2.2145598153686537e-07
ABHD18	3.476527544556548e-08	1.051977532207368	2.81309638200258e-07
ABHD2	0.0011519311716929497	1.0700377121400748	0.001833715938160547
ABHD3	6.780237555118919e-08	1.4307842312792591	4.476903266059382e-07
ABHD4	0.0003293439828630052	1.0221925608393605	0.0005802508890274395
ABHD5	0.962962714128986	0.9923772734642917	0.9672957914556649
ABHD6	1.5731256821051361e-09	1.1254329663937468	3.73709669082253e-08
ABI1	1.3827151700283904e-08	1.1643079488486	1.477101779101405e-07
ABI2	1.1720492049673336e-06	0.9671727158150788	4.1356826897731575e-06
ABI3	5.36417280887121e-09	1.1087140484510212	7.913327817168607e-08
ABI3BP	1.656058850323955e-08	1.1206546901045051	1.673699956585728e-07
ABITRAM	0.21094093333719044	0.9645156571871468	0.23976663182767136
ABL1	0.0017991171832534832	1.0428547378489883	0.0027583677246528506
ABL2	5.116199555879024e-05	1.0484601561294398	0.00010810677792071768
ABLIM1	0.0005897899917698297	1.0938441888786374	0.0009903774419320814
ABLIM2	1.2126191719183772e-05	1.047514500619342	3.018127402807176e-05
ABLIM3	1.5994572046881398e-06	1.2167319424557577	5.365692898821207e-06
ABO	1.0027337469689257e-05	1.111654648560862	2.5582350048719818e-05
ABR	1.1124617813700982e-06	1.0832428819970623	3.961334703541659e-06
ABRA	8.556797734502549e-07	1.17762990204614	3.2056315303491784e-06
ABRACL	9.402402516173181e-10	1.4878904620089877	2.9307694085320105e-08
ABRAXAS1	0.024150433831934298	1.0266322323812422	0.03139804604049012
ABRAXAS2	9.102749176101612e-10	1.0536719886958859	2.849066649344793e-08
ABT1	0.4991026672263965	0.9933998180437196	0.5340366877068231
ABTB1	4.1779612016187184e-06	1.0727366691455313	1.1923566655493918e-05
ABTB2	4.02454089324319e-08	1.0981428297328275	3.101143693372164e-07
ACAA1	4.612355245372319e-06	1.0715127428730666	1.299230889306955e-05
ACAA2	0.10993420209059296	1.1620339965596067	0.13028348721486463
ACACA	0.06623894740701979	1.0240718549108023	0.080971752427006
ACACB	4.793252335510324e-08	1.1189123171610422	3.486419283806742e-07
ACAD10	0.5495004081982772	0.9949641853639335	0.5829081898287803
ACAD8	0.0001492726651728454	1.0355264538024858	0.0002828206511886911
ACAD9	0.15858627673283687	0.9930006177955408	0.1839208251817911
ACADS	4.760305812526512e-07	1.1468548986582074	2.0017020009460514e-06
ACADSB	1.891950587150037e-05	1.0803421700787788	4.460290404245622e-05
ACADVL	0.3860483011786061	0.9635809307150903	0.42035816741203935
ACAN	4.055882358362732e-09	1.1428045025364295	6.641671434729911e-08
ACAP1	5.160385600215848e-07	1.2917922172149972	2.1315551948646685e-06
ACAP2	0.00019918924251364847	1.0757178722304752	0.0003677116260923244
ACAP3	0.5808984190765528	0.99347184207451	0.6130875340041766
ACAT1	4.9605354085301997e-05	1.0572480289345048	0.00010533071408796816
ACAT2	0.0008700629803590386	1.0368278703453617	0.001415904378414473
ACBD3	0.0006993580003793713	1.0531892274225008	0.0011610077040418696
ACBD4	1.2431266862142928e-10	1.489844803675545	9.579016800372062e-09
ACBD5	1.3347573666390585e-06	1.125438445168982	4.616454050029826e-06
ACBD6	1.2029829408681841e-06	1.1174970926128176	4.222261512688795e-06
ACBD7	1.6768754029476365e-09	1.1225242103400244	3.8803305818209026e-08
ACCS	7.742862952709269e-05	1.2741839946204456	0.00015663200909132023
ACCSL	4.381724503863344e-05	1.0924713267109463	9.429341929209747e-05
ACE	1.2980170623474225e-09	1.0950109565889412	3.403091365532621e-08
ACER1	0.0025416155796602917	1.0703608533685456	0.0038097881405394713
ACER2	0.44864117409650195	0.9187051744763494	0.48396624664474835
ACER3	1.3017522525568875e-08	1.073908751039641	1.4175465705748602e-07
ACHE	5.582428273446095e-10	1.1203453158150336	2.1562661880639115e-08
ACIN1	0.18483743387103324	1.0254439248800309	0.21198490829270814
ACKR3	8.50817884860316e-09	1.2170245524131604	1.0700427085484341e-07
ACLY	0.9506307483365297	1.0001754637661338	0.955920426586415
ACO1	0.1935293347440188	1.01522965094178	0.22125134066984525
ACO2	0.9260051915999499	1.0147570051641757	0.9340659717248482
ACOT11	1.0404937469070528e-07	1.2404214183535252	6.119602897345626e-07
ACOT12	4.9662055406173856e-06	1.3593616544927891	1.3829939480200314e-05
ACOT13	0.5846207710279081	1.0255655690106686	0.6167160044616848
ACOT7	2.0279026594617418e-05	1.0462989436838446	4.746887027082381e-05
ACOT9	0.958850928042469	0.9600365854303708	0.9636756546401403
ACOX1	0.000907954271982657	0.897478592065373	0.0014709440606933545
ACOX2	7.700782274219802e-06	1.077327848851964	2.021055928814948e-05
ACOX3	0.013264468379294191	1.0143668119538818	0.01789659852436991
ACOXL	4.266442936455926e-08	1.0902143589997557	3.2173176242126654e-07
ACP1	3.8781874402167834e-06	1.0240700589200433	1.1202832605611945e-05
ACP2	0.012700196420260566	1.0182057245299052	0.017194878849407368
ACP3	2.6883355417301e-07	1.12415999770499	1.2705147423244994e-06
ACP6	1.0360241297819774e-09	1.2215216749270066	3.065662044851933e-08
ACP7	0.9260051915999499	0.9816891100054697	0.9340659717248482
ACRBP	5.300809730364751e-07	1.2405758576102224	2.1765293942909634e-06
ACRV1	7.57756158911394e-05	1.0532809070159872	0.0001537799263673123
ACSBG1	0.0003165414758721044	1.177937353760489	0.0005599044050033261
ACSF2	4.283705324280531e-11	1.2109226601822405	5.418887235214872e-09
ACSF3	4.9662055406173856e-06	1.0269485741926279	1.3829939480200314e-05
ACSL1	3.278224748700886e-08	1.0713862929130036	2.7015988971378635e-07
ACSL3	9.102749176101612e-10	1.112118657197685	2.849066649344793e-08
ACSL4	0.04756090071720608	0.9473703293112224	0.05924136152352411
ACSL5	3.9757444473754405e-06	1.1323230487473481	1.1421612549424523e-05
ACSM3	0.5324261719743195	1.0305581913901465	0.5666173086490585
ACSM4	0.3530338297944974	1.0399127037115818	0.38710297141580974
ACSM5	0.0066490538804711416	1.0704455748495627	0.009367298181489738
ACSM6	0.0001621793495905266	1.0322884464719486	0.00030502819065595266
ACSS1	3.57955420195942e-09	1.3027299074442509	6.202926117094063e-08
ACSS2	0.006546220095970586	1.050972671902387	0.009234422549654632
ACSS3	0.00017613078715266234	1.1486375228072143	0.00032813762260400274
ACTA1	4.655925888337057e-08	1.5630034950341047	3.412697005550774e-07
ACTB	5.7107039047507226e-05	1.070501146841572	0.00011906123509698663
ACTG1	3.439050694092413e-07	1.3193314603212365	1.5445204004829239e-06
ACTG2	0.15593432261124363	1.0298281760673913	0.18091432415459174
ACTL6A	0.04641605815131199	1.0302976816721965	0.057905634675946414
ACTL6B	6.799919520461339e-05	1.132724520947321	0.00013945255109511364
