rna	protein	methylation
YKT6	-1.16488984621349	-0.000120224269004932	0.025907023980235
CAMSAP3	-0.0284416351971814	0.000463618825946048	0.103325748015561
NUP54	0.118441108637738	-0.000374953778833142	0.0334664663869098
ARL6	-0.14910918573202	5.73742212287799e-06	0.0938203411459204
LAMA5	-0.90392718614743	-6.99901230551742e-05	0.116150009395944
PFKFB2	-0.439123616270573	-7.15740572320379e-05	0.062330858135715
SNAP23	-0.517321974081119	-0.000127200799695053	-0.0312190920588537
GPX4	-0.533380987957501	0.000289778829060128	0.300910481476091
RBM12B	0.264341644512745	0.000553532672382275	0.0297858639016831
FERMT2	-0.187269241853185	-0.000312367318977718	0.179308936573713
CSNK1D	-0.77516216144517	-0.000137776288536256	0.194439830104239
GIGYF2	0.525462457736778	-0.000156571273797301	0.21239657854155
SLC25A22	-0.545376631543966	0.000217021195520271	0.0489931530113822
FIBP	-0.386292478868468	0.000228884823430502	0.160635176438632
PACS1	0.0473667536849614	7.76229341722087e-05	0.054411237536545
TRIM3	-0.740484555260093	0.000164342434915973	0.118075342757596
BAX	-1.55866842199449	-0.000384224810684069	0.0625121220700989
DCK	-0.0692800970448537	0.000181540614885338	0.0445685474578142
SMG9	-0.385364898567494	-0.000262453743176965	0.0600186382812422
RDH13	-0.658551213887496	-0.000340579178426637	-0.0232719587225961
SERPINF1	-0.638034648774496	7.5786288968957e-06	0.184334857472703
EIF2D	-0.168439851811942	-0.000271093910126939	0.0137662857271238
ERLIN1	0.548066304280419	0.000374974724808332	0.0999154546063239
RPS11	0.0652866534927762	-0.000629345861978008	0.00285726762749402
EIF2B3	-0.0614734158926646	-0.000140261360540905	0.0878446242496843
DRG2	-0.946847046635351	-5.1031794766007e-05	0.036663897594861
ADAP1	-0.85308080039337	0.000285795497280436	0.0130191804350861
SAG	-0.774224331139173	0.000900533769384302	0.127789895783578
CYB5R1	-1.224874917811	-0.000275850905189295	0.166642485100314
NCALD	0.65815453915782	-0.0001424991051331	0.0638733600569516
BSDC1	-0.315802944631075	-0.000220995719961592	0.0718850794887601
HNRNPK	-0.205721955655685	0.000369105058709855	-0.00987061003514202
GGACT	-2.15971964040737	-0.000384074250270672	0.0168012417950985
NCLN	-0.485605935871748	-0.000438884826274796	0.0377262019952166
EIF2B5	-0.352404145960861	1.3188622867037e-05	0.121431847318927
PODXL	-0.30816678642145	-0.000118043644729827	0.228197437287747
HM13	-0.75987734549572	-0.000541742547648356	0.198455175218165
FLOT1	-0.461500492985523	-0.000133178423210979	0.113355637158152
STAB1	-1.4130292032879	-0.000605822782227679	0.120682206577667
AASDHPPT	0.108439884156049	0.000238082304995067	0.0637110450583847
PSMD13	-0.318552370882222	5.27319391759382e-05	-0.0547494864227752
MARK3	-0.0898402671976702	-6.1137598142883e-05	0.13577206818873
MYO1E	-1.40058045014931	-0.00059076985690231	0.115611498958469
SNTB2	-0.3039474353835	-0.000373453064148988	0.0976015675168682
TM7SF2	0.169105107920221	1.58896207187223e-05	0.108719188477701
PTPRF	0.237627852369551	8.72902284853895e-05	0.0776800062124604
NDUFAF2	0.428616816328431	0.0002408382441589	0.0294470449361142
RNF114	-0.527879375641891	-9.01914309472001e-05	0.101022163581138
GNAI2	-0.538784084929181	-0.000115974358765677	0.179595570609424
LANCL2	-0.44269041304336	-8.229619393098e-05	0.153732362288397
UBFD1	-0.255718851341712	-0.000297863255430877	0.0956650912206612
DDR1	-1.09969062738337	0.000604555008381893	-0.108712264470572
NFKB1	-0.0875456076822	-0.000325233352608573	0.0911124047062152
PRKRA	-0.298809614082484	0.000285747866847044	0.0169781752817266
TAPBP	-0.375447895685815	-0.000252301756805796	0.125608693149588
ATP6V0D1	-0.0811881468266825	0.000431912875761048	0.0618577776085084
SCFD1	-0.135293824148584	-3.22143930022711e-06	0.0572278869767776
CSNK2A2	0.708938616138655	0.000116121730049497	0.103181031284323
EDC4	-0.463399777442431	0.000109703157695365	-0.0220602849924404
MTM1	0.294375874668217	2.46367800370726e-06	0.00733106049647099
STMN1	0.161583541984011	0.000731924186005989	-0.0532620924917491
FN1	-1.17269121827231	-0.000938331168531176	0.0883287943517816
NOL3	-1.31713843612458	-0.000110098873349693	0.444338502585309
PSMD5	-0.21890752669863	-0.000182776953603331	-0.544336921843454
ALG5	0.107429986619458	-0.000251303497038326	0.0610402457623189
CCT3	-0.0715448142468806	0.000153109522796425	0.197244891617024
MBOAT7	-0.62492692560734	-0.000336969656812016	0.0729565904035757
SPHK2	-0.347945959131279	0.000180040414261296	0.113664396667568
TCF25	0.0978819212591034	-1.72455021937934e-05	0.0423457362718503
POLR2C	-0.564008507075627	-6.49477136645082e-05	-0.025427731303446
RHEB	-0.478634585112503	0.000169049092038933	0.0298898101560263
CTSL	-0.834913123842744	-0.000719517966349466	0.259063693826494
CALCOCO1	-0.0226155858307884	-4.80305734120489e-05	0.110733696258804
EIF4B	0.513946270508109	3.45866641237257e-05	-0.0269535606126013
RAB34	-2.72805396105745	-0.00104850075701643	0.771968969687785
ZC3HC1	-0.502275528170048	0.000168420651440691	0.125407332099456
ISCU	-0.00116386641406253	3.48835945125433e-05	0.0468867564363739
HNRNPUL1	0.285018128877661	-0.000126021276549555	0.041503372758184
TRIM28	-0.476840004219097	2.98236467933512e-05	-0.542155404486892
IQGAP1	-1.06461752732338	-0.00130206733506566	0.206006302853221
EMC3	-0.821597930179288	-0.00012870166988698	0.186098377808165
ATP13A1	-0.412698478662339	-0.000120582849593933	0.0462594006115639
CCAR2	-0.320098591735959	0.000323718707225081	0.115688019127193
PCM1	0.583307152927898	-0.000106866509882115	-0.00433454124361018
CLIC4	-0.665183800676449	-0.000467009133382119	0.206863171623797
IKBKB	-0.58891915075443	-6.67727316584978e-05	0.0594825541078735
BPHL	0.223824302318972	0.00027549648863796	0.0920471661541434
RANBP1	-0.029335885912723	0.00033298175798465	-0.0243159893291612
POR	-0.785729205383375	-0.00037782594707664	0.13330169497977
DYNC2H1	0.239588912356279	-0.000331450126937327	0.213120802719806
ACAD9	-0.195386985331713	-6.79350694495003e-05	-0.0101334795604143
PICALM	0.222275644829963	-0.000365455923196648	0.102420417054449
BAG6	-0.215337753118792	-1.06479569425517e-05	0.0497939648070572
ATP1A3	0.854222055165806	0.0010628331439554	1.16693191404713
ARHGAP23	-0.190692128438142	-0.000661704883517043	0.12288614779369
GDI2	0.644862970290227	0.000476473084295394	0.0950699553354129
ATG4B	-0.866522433190283	-0.000241050241251605	0.0510541621695423
OPLAH	-2.58310334355826	-0.000486443466956918	0.110236230386496
ARIH1	0.136109715988234	-0.000169878513558765	0.0582159737809532
TAOK1	0.545532489417659	-0.00011033214012898	0.128229859800363
GLS	-0.204910874753494	0.000326411749778556	0.0940891811935455
SART1	0.650326727610434	0.000256921922368147	0.0142209857616357
RFTN1	-1.0789687241382	-0.00080649349145103	0.212077703768767
CTTN	-0.556854428686426	-9.72445342802588e-05	0.0492971305955618
TUBB4A	-0.389066944146347	0.000925054885411507	0.160982238244459
CMBL	0.146311249457931	0.000410632731017235	0.118387263326087
ZNF207	0.372988568720109	4.24210276133195e-05	-0.116725337683064
ACADVL	-0.885788165244208	-0.000227932768772746	-0.053522251990715
DHRS7B	0.306460666432618	-0.000143079533688549	0.107574302846234
ATG3	0.587234965989678	-8.61764953841575e-05	0.118744090424444
MOG	-1.43451629203665	-0.000126230786168251	0.161006957748991
PDIA5	-0.537582644948471	-0.0009662510080188	0.101845916336168
PRPF31	-0.550139368633683	-1.85191560624807e-05	0.0717706570013726
