rna	protein	methylation
YKT6	2.24095881015362e-08	0.442439114010384	0.000416914385926525
CAMSAP3	0.359087513934116	0.160162216797701	7.16198191417559e-06
NUP54	0.23290510414793	0.151916015559586	0.000229669302639328
ARL6	0.165806560194014	0.757573276044816	0.000329343982863005
LAMA5	0.000166646477960076	0.581524840221526	8.50817884860316e-09
PFKFB2	0.610532971588623	0.92520398580332	0.174792588629176
SNAP23	0.000137717598087051	0.380365866714368	0.642389578393579
GPX4	0.000581764402268332	0.196339861537261	5.5327013254387e-09
RBM12B	0.0634250721190859	0.00906990759535551	0.0447423474598986
FERMT2	0.302789367490561	0.323683222684332	1.77265602358337e-06
CSNK1D	2.57440273007671e-05	0.69700565276909	3.20196917351357e-05
GIGYF2	0.00206127976714241	0.36568326411358	2.47531332609683e-07
SLC25A22	0.00206127976714241	0.757573276044816	0.000636349979250973
FIBP	0.00532250901706348	0.160162216797701	1.33043356865728e-10
PACS1	0.764561437135038	0.92520398580332	2.79492860930809e-05
TRIM3	6.65745474635611e-05	0.337339851276747	9.75973012786083e-07
BAX	7.69384146525587e-09	0.0580748216074045	0.0012384030139927
DCK	0.888310979515776	0.475416330054034	1.57056620064094e-05
SMG9	0.000245687407106711	0.249049634367535	0.0130739625392525
RDH13	0.000349770132436153	0.108760291731593	0.445096808911567
SERPINF1	0.000392784524646951	0.92520398580332	3.68991252809575e-06
EIF2D	0.052282134957986	0.115230920621756	0.760812487785009
ERLIN1	0.00474189954851738	0.080403094958351	1.60768780859588e-05
RPS11	0.693394910315144	0.080403094958351	0.457495852717689
EIF2B3	0.785296684022639	0.0855640175760677	0.00405469748446184
DRG2	5.24886336962924e-07	0.946536253591906	0.0966375109122286
ADAP1	0.00107255208742964	0.442439114010384	0.155846076951037
SAG	0.0526941205164288	0.0186609718875455	1.90475933268639e-09
CYB5R1	6.04016985945173e-09	0.380365866714368	0.000712635786042149
NCALD	0.0192769422781651	0.737204567361536	5.46544922190434e-05
BSDC1	0.00702902087857832	0.36568326411358	0.00664905388047114
HNRNPK	0.130783922092885	0.272536610193182	0.595117618714623
GGACT	3.90643577711084e-11	0.475416330054034	0.243589991948361
NCLN	0.0128090801909943	0.00222765448704881	7.41560117477973e-05
EIF2B5	0.00272959869464293	0.778100035369736	0.0162010406416267
PODXL	0.415710677388888	0.677199220278339	6.78023755511892e-08
HM13	1.5854531434052e-05	0.102566348261607	2.23227292375437e-08
FLOT1	0.00115216494170136	0.778100035369736	3.1762208666951e-06
STAB1	4.02551568210327e-07	0.0303128121108143	1.92332272735013e-08
AASDHPPT	0.582372542898627	0.177602535934548	0.011813213102816
PSMD13	0.0140809211598456	0.903919884354322	0.53242617197432
MARK3	0.708443533546427	1	1.42501041370191e-08
MYO1E	2.06976326527887e-07	0.00857368693097359	2.87266101061944e-06
SNTB2	0.510400045337157	0.0409094068202995	7.7007822742198e-06
TM7SF2	0.419599080076863	0.967908324432821	0.241510340598825
PTPRF	0.95547063719574	0.581524840221526	2.38220987923365e-05
NDUFAF2	0.0449521463685997	0.121980867818826	0.00012630565892973
RNF114	0.000190711732281969	0.545017852327191	1.27130042306572e-05
GNAI2	0.000986114385200118	0.619077858526091	8.55679773450255e-07
LANCL2	0.0174371934355026	0.509627363282033	3.34656655642713e-07
UBFD1	0.051466241932086	0.0472123053381972	9.11275894884148e-06
DDR1	3.57667261204275e-06	0.0143895777953175	0.000468442309656396
NFKB1	0.888310979515776	0.115230920621756	6.1905602616003e-06
PRKRA	0.0388269248765422	0.0239155168598644	0.00267452163761793
TAPBP	0.173161378143721	0.458771762212384	1.98158363307827e-05
ATP6V0D1	0.202618024579678	0.272536610193182	6.45565800539059e-09
SCFD1	0.495299732784434	0.861566339162661	0.208054692765065
CSNK2A2	3.03331723622351e-05	0.143981966274657	2.12365167923073e-05
EDC4	0.0062176690635809	0.509627363282033	0.860745675558528
MTM1	0.0852808866460896	0.967908324432821	0.542638425452092
STMN1	0.148926122494921	0.0909747546817469	0.137291504786128
FN1	5.44664188209243e-05	0.143981966274657	5.47862480052659e-06
NOL3	9.37299457348887e-08	0.42642976881125	1.05307269519617e-08
PSMD5	0.187462848042439	0.337339851276747	0.052896535308692
ALG5	0.806185416353595	0.0909747546817469	0.000797347933797734
CCT3	0.780097932195319	0.102566348261607	0.201509254252214
