Brown	DPM
YKT6	4.11991466013072e-08	4.11991466013072e-08
CAMSAP3	0.000208788953841403	0.00278395216643602
NUP54	0.0017331583531134	0.0127361145735972
ARL6	0.00533925857680217	0.00778896938565629
LAMA5	1.21395008033266e-08	1.21395008033266e-08
PFKFB2	0.566267872057612	0.566267872057612
SNAP23	0.00463560136407633	0.00846631191088299
GPX4	9.91880542348669e-09	1.16610833951992e-07
RBM12B	0.00385616043996298	0.204028743329235
FERMT2	0.000111996028839971	0.000111996028839971
CSNK1D	1.67781488060722e-06	1.67781488060722e-06
GIGYF2	7.24459417241808e-07	0.00556138244929557
SLC25A22	0.000392466745859762	0.000582854167298538
FIBP	2.6827851432804e-09	4.33499091393274e-08
PACS1	0.00321487109785962	0.00517418961273927
TRIM3	1.45137775897779e-07	7.41895810293464e-07
BAX	8.96625007064409e-09	8.96625007064409e-09
DCK	0.00150361146524585	0.00422007297244014
SMG9	0.000336118865561802	0.000336118865561802
RDH13	0.00288810905739844	0.00873914378899193
SERPINF1	3.15193607025592e-06	3.53763206256283e-06
EIF2D	0.112379720707289	0.112379720707289
ERLIN1	9.70926098331304e-06	0.382279904604961
RPS11	0.295808227345681	0.42743296699186
EIF2B3	0.0189348976311987	0.0189348976311987
DRG2	4.3978359313675e-05	4.3978359313675e-05
ADAP1	0.00792535529776815	0.0234632483029377
SAG	2.26228643772184e-08	8.81654801960019e-06
CYB5R1	2.04296744679118e-08	2.04296744679118e-08
NCALD	0.000329092612300519	0.0697454186249766
BSDC1	0.00290682358174916	0.00290682358174916
HNRNPK	0.268282089068438	0.995842720422012
GGACT	4.41087920736285e-08	4.41087920736285e-08
NCLN	4.42152377639674e-06	4.42152377639674e-06
EIF2B5	0.0047070104585513	0.00662936390872094
PODXL	2.23937731831727e-05	2.23937731831727e-05
HM13	1.12438169787415e-09	1.12438169787415e-09
FLOT1	5.50934841255887e-06	5.50934841255887e-06
STAB1	2.34980454659957e-11	2.34980454659957e-11
AASDHPPT	0.0498766032508809	0.601773982431239
PSMD13	0.141527782622426	0.31773466271903
MARK3	1.40237832581173e-05	1.40237832581173e-05
MYO1E	2.50239274628069e-10	2.50239274628069e-10
SNTB2	0.000105892615417756	0.000105892615417756
TM7SF2	0.564681389225466	0.970266484682284
PTPRF	0.00243476626755939	0.00547116946445469
NDUFAF2	0.000303163637723677	0.280321454415431
RNF114	3.11777688004456e-06	3.11777688004456e-06
GNAI2	1.56289058749414e-06	1.56289058749414e-06
LANCL2	5.689417144376e-06	5.689417144376e-06
UBFD1	2.49692009848598e-05	2.49692009848598e-05
DDR1	1.55931719577896e-07	0.954854878664197
NFKB1	0.000284459536967648	0.000284459536967648
PRKRA	0.000752756991549755	0.108807629928833
TAPBP	0.000544718490588555	0.000544718490588555
ATP6V0D1	1.17528515010491e-06	8.10524295778895e-06
SCFD1	0.540978015493084	0.540978015493084
CSNK2A2	4.29172449619303e-07	0.750472377514456
EDC4	0.0821409575989869	0.215400496503185
MTM1	0.393810996533434	0.673722575733548
STMN1	0.0648845528332681	0.0648845528332681
FN1	2.40831286495057e-07	2.40831286495057e-07
NOL3	3.68403583963187e-11	3.68403583963187e-11
PSMD5	0.0930024200319374	0.997300996034702
ALG5	0.00675920347883521	0.00904757084139353
CCT3	0.231248554439934	0.980563609748969
MBOAT7	0.000341847766114035	0.000341847766114035
SPHK2	1.25280807194504e-06	2.55946375318875e-06
TCF25	0.00175692979994392	0.00732779277076569
POLR2C	0.0118483435977584	0.0142917249793063
RHEB	0.00671617314824208	0.0165929406671617
CTSL	1.35413444732724e-07	1.35413444732724e-07
CALCOCO1	0.716182388052763	0.716182388052763
EIF4B	0.0145218997523606	0.0145218997523606
